Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.4903533011674881,0.555812762634044,1.087,1.1257190704345703,0.39951607850762066,0.116,1.8802241086959839,0.43032890633359344,0.148
2,0.44979897439479827,0.6095852612130573,1.451,813.5768432617188,0.4373220457294912,0.221,1026.1434326171875,0.43958656280758096,0.22
3,0.44142747968435286,0.618454970820273,1.709,284146.3125,0.4038677786289332,0.209,363048.0,0.39535719511173045,0.184
4,0.4379427120089531,0.6309680991861237,2.184,27485132800.0,0.3787966711497368,0.297,18519156736.0,0.3507893714781495,0.525
5,0.4689706027507782,0.5993423006679821,2.188,44666581942272.0,0.3486066495996869,0.235,79671047749632.0,0.34400921258976785,0.307
6,0.4434909105300903,0.6160268254634694,2.941,430199057416192.0,0.3843846488680073,0.394,540730913193984.0,0.3855107691922166,0.462
7,0.4478203147649765,0.6162345071995379,3.385,3.0824786494467604e+18,0.43928391959798996,0.472,5.727827484695593e+17,0.4512869274070777,0.334
8,0.46862461417913437,0.5933117702440447,3.149,1.2015552788484955e+20,0.38251595057341303,0.534,8.696144776415255e+19,0.4006445991829866,0.485
9,0.46908528357744217,0.6033542756689133,4.019,4.716782884022834e+24,0.41650489011056435,0.37,4.0047100279704065e+24,0.428609579076201,0.441
10,0.4763291418552399,0.6059062677422206,3.935,1.6584408753562427e+26,0.45389961345773644,0.373,1.2001155070710729e+27,0.43988862319255295,0.416
