Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.48776656836271287,0.5527643076155998,1.044,0.960839569568634,0.4146103908408403,0.146,1.605151891708374,0.437042481102264,0.176
2,0.44881170988082886,0.6178043307347976,1.891,861.052734375,0.43389644077741013,0.226,957.4445190429688,0.4478871393421625,0.282
3,0.43838898837566376,0.6293618272264793,1.656,335388.6875,0.4280584119044507,0.255,283546.78125,0.385541346294682,0.24
4,0.4319754302501678,0.6394933332896412,1.898,16648621056.0,0.3689811566850785,0.276,13911877632.0,0.3475172954367311,0.384
5,0.4657146528363228,0.6056927708791123,1.99,41206272753664.0,0.3486066495996869,0.264,75783993294848.0,0.34400921258976785,0.27
6,0.43606617152690885,0.6274439238384774,3.11,195252283506688.0,0.3884979345002342,0.468,267819212079104.0,0.39552565960500485,0.498
7,0.4413150489330292,0.6247699194013753,3.206,2.697337593300779e+18,0.44185219831618333,0.472,2.1347133358394573e+17,0.4498305579813599,0.485
8,0.4645239755511284,0.598624387343913,3.634,1.8587666280018346e+19,0.394188010041927,0.402,4.610926035990269e+19,0.39642002662266684,0.454
9,0.4661831006407738,0.60834597576697,3.533,1.067374945137801e+24,0.4210831571892561,0.43,1.0862682301217636e+24,0.4145450405129783,0.727
10,0.4733409970998764,0.6095250764551006,4.167,8.933718309930337e+26,0.43970878635964833,0.371,3.0710689246885058e+26,0.42081863855096974,0.387
