Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,1.0438942909240723,1.087,0.14631056785583496,0.116,0.17640185356140137,0.148
2,1.890599250793457,1.451,0.22571229934692383,0.221,0.2817380428314209,0.22
3,1.6563425064086914,1.709,0.2546806335449219,0.209,0.23954057693481445,0.184
4,1.8979225158691406,2.184,0.27587389945983887,0.297,0.3838069438934326,0.525
5,1.9895224571228027,2.188,0.26416921615600586,0.235,0.2696421146392822,0.307
6,3.110408067703247,2.941,0.4680294990539551,0.394,0.4980342388153076,0.462
7,3.206153154373169,3.385,0.47188687324523926,0.472,0.484816312789917,0.334
8,3.6340928077697754,3.149,0.4024481773376465,0.534,0.4543921947479248,0.485
9,3.5328872203826904,4.019,0.42987871170043945,0.37,0.7266168594360352,0.441
10,4.167397737503052,3.935,0.3706488609313965,0.373,0.3874053955078125,0.416
