Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.4657909646630287,0.5812542890606848,0.785,1.286996841430664,0.41891880376112717,0.1,1.3602701425552368,0.4962406652010556,0.15
2,0.44828309416770934,0.613892008826596,1.025,770.6464233398438,0.4274912777441967,0.143,1135.1611328125,0.4505353242771712,0.173
3,0.46283166855573654,0.611159913943211,1.697,406297.8125,0.41539485066858994,0.215,333896.1875,0.4221818682684407,0.308
4,0.4535928949713707,0.6179457119767388,2.132,62018188.0,0.36854001194585534,0.294,205944432.0,0.3639611042757956,0.342
5,0.47178227454423904,0.6067903274543965,2.366,915891814400.0,0.3485635983106824,0.279,1746622087168.0,0.3587442927237997,0.325
6,0.46344836205244067,0.6012863456956429,2.355,5.761154025730867e+17,0.3770991454013028,0.273,1.2089340628995932e+18,0.3736141138896687,0.295
7,0.4757772296667099,0.5959396947987777,3.419,3.98431210532189e+18,0.44993294715345367,0.32,3.8857008326831715e+20,0.4479610057429661,0.429
8,0.47775744944810866,0.5962897074706898,3.171,4.972463529896523e+22,0.3939409512230279,0.358,6.4232049253416415e+22,0.38931725049077054,0.438
9,0.4728429213166237,0.5950387858474007,3.364,4.506644354713582e+27,0.37484436683202604,0.403,3.435421561147811e+27,0.3710140549358427,0.45
10,0.4782297477126122,0.5969529324824345,3.581,inf,0.345684556407448,0.435,inf,0.341090189044933,0.494
