Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.7845826148986816,0.791,0.09973859786987305,0.104,0.15000581741333008,0.12
2,1.0248072147369385,1.009,0.14266681671142578,0.134,0.173173189163208,0.162
3,1.696946620941162,1.806,0.21502447128295898,0.168,0.30821871757507324,0.175
4,2.131765365600586,2.232,0.2935924530029297,0.259,0.34247398376464844,0.341
5,2.3661906719207764,2.882,0.27898168563842773,0.317,0.3247561454772949,0.293
6,2.355336904525757,2.835,0.2727322578430176,0.328,0.294752836227417,0.343
7,3.418705463409424,3.127,0.3197200298309326,0.32,0.42932963371276855,0.387
8,3.171004056930542,3.155,0.3584258556365967,0.413,0.4377002716064453,0.472
9,3.3637521266937256,3.303,0.4025580883026123,0.396,0.44967055320739746,0.434
10,3.5807723999023438,4.23,0.43489599227905273,0.467,0.49413132667541504,0.521
