Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.46207416653633115,0.603569819925467,0.709,0.9742991328239441,0.495259824355498,0.108,1.3505915403366089,0.5229557575644952,0.091
2,0.4542328745126724,0.6118090574023153,0.966,1952.0377197265625,0.3709919478747617,0.154,7566.7177734375,0.3896205550703929,0.128
3,0.45297001749277116,0.6148421636681143,1.183,3669444.5,0.3538632912562866,0.153,4186936.5,0.3867534331862109,0.165
4,0.45846066772937777,0.6165164191400737,1.499,46064709632.0,0.347858176811906,0.19,39140077568.0,0.35160187596544745,0.225
5,0.4560017943382263,0.6114125018158885,1.714,140242173952.0,0.431165444082522,0.182,262000541696.0,0.41141472199547247,0.239
6,0.47455161809921265,0.5969945492177737,2.131,2547435834441728.0,0.43610227627065795,0.211,1622167271768064.0,0.4280211593925559,0.29
7,0.476767934858799,0.6019145633765756,3.361,7.549278851273867e+23,0.42992204552541313,0.385,7.407280715310846e+23,0.41315442135018743,0.434
8,0.4724213793873787,0.5962124319893534,3.328,2.1249667806128682e+27,0.35150437176846444,0.35,2.0541125414778446e+28,0.34873550783232304,0.374
9,0.48575128614902496,0.5841587670039919,3.811,2.3641983248601823e+27,0.3587840491235586,0.374,1.1626606476080027e+27,0.35647627769761386,0.492
10,0.48712171614170074,0.5822061158364159,4.433,inf,0.32259602748469945,0.463,inf,0.3325574331184644,0.586
