Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.7821943759918213,0.709,0.1016693115234375,0.108,0.1002500057220459,0.091
2,0.9826328754425049,0.966,0.13827848434448242,0.154,0.14212560653686523,0.128
3,1.1409659385681152,1.183,0.16603779792785645,0.153,0.1882615089416504,0.165
4,1.381746530532837,1.499,0.19889163970947266,0.19,0.21363162994384766,0.225
5,1.6300771236419678,1.714,0.19368553161621094,0.182,0.23015284538269043,0.239
6,1.8174779415130615,2.131,0.21821808815002441,0.211,0.2553284168243408,0.29
7,3.284868001937866,3.361,0.26305460929870605,0.385,0.3400900363922119,0.434
8,3.826814889907837,3.328,0.4019510746002197,0.35,0.4570624828338623,0.374
9,3.622864007949829,3.811,0.4723355770111084,0.374,0.6117897033691406,0.492
10,3.994391679763794,4.433,0.40720486640930176,0.463,0.4974644184112549,0.586
