Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.5052480474114418,0.5419638809960282,0.984,1.052245020866394,0.4644313666104448,0.116,0.9721287488937378,0.5085606776569894,0.117
2,0.503448809683323,0.5416157619827341,1.344,9411.52734375,0.3858850008754379,0.142,24137.60546875,0.35339967924500926,0.236
3,0.5174888968467712,0.5377252013021322,1.437,1050811.25,0.3540647578200143,0.192,4181724.75,0.3226400062298204,0.224
4,0.5150003105401992,0.5396583023096005,1.718,133654800.0,0.48478115373434677,0.224,172914928.0,0.4676160524913542,0.233
5,0.536185109615326,0.5158727226536541,2.025,19797073920.0,0.3971684314888593,0.255,56899436544.0,0.38736636469257446,0.252
6,0.5346919089555741,0.5126946685271866,2.141,5.529430919384924e+17,0.34492332968236583,0.276,1.7416908772663624e+18,0.3403251932022656,0.308
7,0.5295010507106781,0.5056980703857268,2.559,2.4882852484884726e+18,0.32279589366812117,0.275,4.724336482251178e+18,0.3092745621872634,0.357
8,0.5518602877855301,0.5039061978695448,2.811,1.2477688960560136e+19,0.39368335598381354,0.356,9.882927720720394e+19,0.39474204185031336,0.359
9,0.5437784850597381,0.5148171147614578,3.001,3.587768647965891e+24,0.35981970239739214,0.348,1.060834897022287e+25,0.352447901277288,0.383
10,0.5389334052801132,0.49731841135170957,3.161,1.0093899534504315e+31,0.36078699841345657,0.353,1.9917430063006735e+31,0.35619309941377925,0.429
