Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.5264748185873032,0.5105324613464396,1.013,1.1507446765899658,0.4098434004474273,0.136,2.6206047534942627,0.3859196811287032,0.144
2,0.5326865196228028,0.517123764697783,1.182,846.9049682617188,0.38729044096007537,0.166,1605.8704833984375,0.37952303200910864,0.154
3,0.5507012605667114,0.49369989812564763,1.455,115020.703125,0.3736327077747989,0.165,239697.953125,0.31544174610419473,0.187
4,0.5513945877552032,0.49630268179994375,1.737,46973928.0,0.40953550808690325,0.209,87921464.0,0.3798060264114886,0.264
5,0.546114981174469,0.49220336351927085,2.093,60264251392.0,0.40639475489822363,0.253,80595116032.0,0.37406437446050994,0.423
6,0.5632589161396027,0.4786359780134647,2.991,4825602326528.0,0.4190230847107645,0.273,9876603404288.0,0.43272066420878,0.294
7,0.5808230698108673,0.4557843963239244,2.669,2201296098557952.0,0.408597576802954,0.327,2.251879055831859e+16,0.38248657902909683,0.368
8,0.5812064230442047,0.4534014730540464,3.179,1.0054867809755726e+19,0.3818695926965366,0.362,1.6821372318252007e+19,0.36121224921277045,0.418
9,0.5767840772867203,0.458306541570673,2.935,2.7472867454084754e+22,0.387843568129925,0.392,4.574151217693031e+22,0.3694956319869834,0.444
10,0.5735951274633407,0.45310977426132426,3.265,8.537896791683252e+23,0.38421678343400456,0.44,9.387816833936552e+23,0.37388368558953855,0.478
