Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,1.0134117603302002,0.947,0.13558340072631836,0.105,0.14395976066589355,0.141
2,1.1816697120666504,1.283,0.16594529151916504,0.19,0.15387797355651855,0.194
3,1.455308198928833,1.686,0.16514086723327637,0.21,0.1874864101409912,0.233
4,1.7372541427612305,1.89,0.20945525169372559,0.198,0.2640047073364258,0.234
5,2.093278646469116,2.227,0.25316524505615234,0.301,0.4226055145263672,0.314
6,2.9909749031066895,2.53,0.27277541160583496,0.28,0.29407215118408203,0.309
7,2.668976068496704,2.845,0.3274714946746826,0.297,0.3676910400390625,0.352
8,3.1793699264526367,3.421,0.3618466854095459,0.399,0.4178166389465332,0.417
9,2.934854745864868,3.375,0.3920407295227051,0.429,0.4440937042236328,0.481
10,3.265383720397949,4.329,0.44029951095581055,0.443,0.47769927978515625,0.562
