Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.4608968958258629,0.5934609239440406,0.916,1.5804064273834229,0.39612210996432556,0.149,1.7739585638046265,0.47586857853108755,0.124
2,0.44340280145406724,0.6250719635215382,1.35,1065.0888671875,0.4253716628721681,0.181,1253.9617919921875,0.40926815744584516,0.2
3,0.4475614011287689,0.6283874799623811,1.635,18944150.0,0.34607193827490856,0.164,60010708.0,0.3336736964273902,0.26
4,0.45560726523399353,0.6129525825066642,1.945,491888928.0,0.41307579545542683,0.274,650064512.0,0.4003686857647743,0.234
5,0.46399601846933364,0.6126609854891208,2.174,16295525351424.0,0.36649497140184134,0.256,8205108248576.0,0.3591819672950488,0.299
6,0.4702847197651863,0.6028604839446334,2.339,696359690698752.0,0.386733329207288,0.332,224563556253696.0,0.41311354270285633,0.332
7,0.46590056270360947,0.6088143252487079,3.029,3.304311399592755e+16,0.39864741155836825,0.356,3.452027393760297e+17,0.40460736033613975,0.345
8,0.467783784866333,0.602418574444477,3.319,2.7661258093047243e+21,0.3799903348888873,0.407,8.906908031689125e+21,0.369232367660046,0.366
9,0.47377066761255265,0.6024229240174447,3.373,6.055344926997714e+24,0.3546677484362323,0.392,6.612193331586271e+24,0.3530579706451659,0.486
10,0.48291115164756776,0.5915357097157447,4.891,9.852604939456362e+27,0.4312411570745216,0.529,1.0794730039296685e+28,0.41677183292496045,0.58
