Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.46020180732011795,0.5872588739263072,0.866,1.2348086833953857,0.42160688161479976,0.085,1.605603814125061,0.49174018413946974,0.137
2,0.44224330484867097,0.6311157236038071,1.25,1176.1439208984375,0.421140570513645,0.15,1351.28662109375,0.41445386851249116,0.183
3,0.44596519470214846,0.6343857943260461,1.558,21959274.0,0.3467537317005448,0.17,42848900.0,0.3336736964273902,0.226
4,0.452979876101017,0.6189764789876814,1.841,366113600.0,0.40790626665582624,0.257,550604864.0,0.4071381856005483,0.242
5,0.459711754322052,0.6202607265999628,1.914,8264613888000.0,0.363696768749294,0.27,4598628089856.0,0.3601375451186433,0.283
6,0.46763648837804794,0.6071602818728137,2.135,295239843577856.0,0.3612458187921497,0.239,233868485459968.0,0.38173613242507815,0.292
7,0.46199063360691073,0.613214818684668,2.424,3.2660065190150144e+16,0.401717230407766,0.302,5.3533582196893286e+17,0.4011987899007606,0.318
8,0.4639546096324921,0.6070816374957021,2.741,2.305855675587646e+21,0.37447041845467216,0.339,8.199746062799969e+21,0.37514149332425645,0.396
9,0.4697242319583893,0.6091380720053206,3.079,5.319962592195521e+24,0.35374640053776524,0.405,7.842663218896736e+24,0.3488998959641015,0.479
10,0.4800684884190559,0.594529970682064,3.844,2.2749535673273858e+27,0.4271774704199792,0.545,1.8465211478136624e+27,0.4209709901234897,0.71
