Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.531227570772171,0.519801409713043,0.784,1.801738977432251,0.38293244663659903,0.108,2.372993230819702,0.3785653594584885,0.146
2,0.5307354956865311,0.5158493023481922,1.03,674.2026977539062,0.3557193546386502,0.162,1241.4375,0.35592537795915846,0.157
3,0.5375076979398727,0.5233847752712206,1.488,9159497.0,0.421771531770909,0.207,29737784.0,0.36995777510648786,0.2
4,0.5483057856559753,0.514921749650011,1.867,15760080896.0,0.36383299469096153,0.255,40761847808.0,0.3596461970600096,0.24
5,0.5463129162788392,0.49436655030490595,2.035,156187995668480.0,0.4565699908605546,0.218,65357788217344.0,0.44529480860751525,0.243
6,0.5440402746200561,0.5063527750267129,2.171,2.407944208724787e+18,0.4546916320048903,0.211,4.671002471722648e+18,0.44668153309442554,0.246
7,0.5602529913187027,0.5110969564133416,2.194,4.162175547170051e+21,0.35555302603341005,0.295,7.560728622822509e+21,0.35115980831102206,0.329
8,0.5600459456443787,0.49733833315715886,2.609,1.5268162543938567e+25,0.424061723237284,0.316,3.1718445943678255e+26,0.42235765871034486,0.351
9,0.5595855504274369,0.48723101988306383,2.723,1.183840318715429e+32,0.41786267967928825,0.319,2.274548957564435e+31,0.3972920549195603,0.459
10,0.5599088072776794,0.49469819205646315,3.029,inf,0.3551324558894426,0.414,inf,0.34948583774559894,0.517
