Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.7839365005493164,0.758,0.10757803916931152,0.155,0.1457810401916504,0.13
2,1.0301833152770996,1.116,0.16237211227416992,0.148,0.15695786476135254,0.183
3,1.488300085067749,1.504,0.20714998245239258,0.204,0.20019936561584473,0.274
4,1.8668887615203857,1.8,0.25496554374694824,0.232,0.2403552532196045,0.234
5,2.0352416038513184,2.538,0.21847844123840332,0.305,0.24289798736572266,0.517
6,2.1707355976104736,1.884,0.21080517768859863,0.221,0.24590015411376953,0.276
7,2.194260835647583,2.385,0.29457569122314453,0.285,0.32875847816467285,0.315
8,2.608628034591675,2.558,0.3157539367675781,0.278,0.35109853744506836,0.307
9,2.7229819297790527,2.861,0.31903982162475586,0.311,0.45865702629089355,0.323
10,3.0289247035980225,3.202,0.4137763977050781,0.371,0.5171456336975098,0.44
