key,layers,time_seconds
p1,1,36.42554044723511
p1,2,82.11459422111511
p1,3,131.64888429641724
p1,4,223.5786817073822
p1,5,290.89365911483765
p1,6,305.58396100997925
p1,7,368.8807888031006
p1,8,367.9254539012909
p1,9,388.9914722442627
p1,10,471.56122303009033
p2,1,29.62483263015747
p2,2,68.78103733062744
p2,3,124.92982125282288
p2,4,169.1254425048828
p2,5,268.87085223197937
p2,6,294.92065811157227
p2,7,353.3418605327606
p2,8,454.26139211654663
p2,9,529.2947552204132
p2,10,559.2282717227936
p3,1,42.10126566886902
p3,2,93.45724701881409
p3,3,161.52655792236328
p3,4,216.15201115608215
p3,5,286.3970220088959
p3,6,339.0360426902771
p3,7,388.33654046058655
p3,8,422.67986249923706
p3,9,509.3883583545685
p3,10,548.3480155467987
