key,layers,time_seconds
p1,1,23.058345079421997
p1,2,57.75598454475403
p1,3,86.7554190158844
p1,4,106.85679936408997
p1,5,135.90776991844177
p1,6,148.68574571609497
p1,7,198.44666457176208
p1,8,186.98556280136108
p1,9,205.78730869293213
p1,10,235.90942001342773
p2,1,36.94758653640747
p2,2,66.2170467376709
p2,3,87.62152242660522
p2,4,108.12849617004395
p2,5,134.92621088027954
p2,6,140.735285282135
p2,7,163.44563722610474
p2,8,182.40715217590332
p2,9,228.28098106384277
p2,10,237.5954782962799
p3,1,40.154595613479614
p3,2,62.16443133354187
p3,3,87.38547730445862
p3,4,109.55771279335022
p3,5,129.3198118209839
p3,6,176.03605222702026
p3,7,235.22331976890564
p3,8,238.10580897331238
p3,9,232.3206205368042
p3,10,252.96769094467163
