key,layers,time_seconds
p1,1,33.53748297691345
p1,2,60.23784279823303
p1,3,95.28359317779541
p1,4,167.61165165901184
p1,5,227.8454234600067
p1,6,297.8692796230316
p1,7,635.5132873058319
p1,8,373.37815165519714
p1,9,518.3928263187408
p1,10,476.75963377952576
p2,1,36.113741636276245
p2,2,77.77741312980652
p2,3,139.01578760147095
p2,4,201.6583023071289
p2,5,247.40169191360474
p2,6,324.9814624786377
p2,7,384.536474943161
p2,8,394.9330725669861
p2,9,438.1952314376831
p2,10,437.198447227478
p3,1,36.60027718544006
p3,2,77.22486996650696
p3,3,142.8270959854126
p3,4,208.18319869041443
p3,5,253.47746229171753
p3,6,304.491402387619
p3,7,336.2056140899658
p3,8,344.03310561180115
p3,9,483.18199396133423
p3,10,446.50728154182434
