key,layers,time_seconds
p1,1,37.668479204177856
p1,2,87.40815496444702
p1,3,136.93701601028442
p1,4,254.63355541229248
p1,5,317.78277707099915
p1,6,412.4586820602417
p1,7,393.5304203033447
p1,8,499.34177470207214
p1,9,977.9580647945404
p1,10,750.2463455200195
p2,1,42.836007833480835
p2,2,119.53350043296814
p2,3,415.7016022205353
p2,4,1444.576331615448
p2,5,554.5904834270477
p2,6,389.46645307540894
p2,7,1010.1289582252502
p2,8,509.6764078140259
p2,9,591.4199278354645
p2,10,659.4034080505371
p3,1,35.48764967918396
p3,2,94.57109880447388
p3,3,173.39725589752197
p3,4,237.04158425331116
p3,5,314.4574043750763
p3,6,398.22357964515686
p3,7,489.9811534881592
p3,8,551.6815028190613
p3,9,971.7266063690186
p3,10,539.5555131435394
