key,layers,time_seconds
p1,1,36.039820194244385
p1,2,58.2647385597229
p1,3,75.694753408432
p1,4,99.72868633270264
p1,5,123.30824875831604
p1,6,171.82763195037842
p1,7,170.73581218719482
p1,8,199.22464728355408
p1,9,229.04181551933289
p1,10,258.3910298347473
p2,1,33.7829806804657
p2,2,64.3882200717926
p2,3,82.93558716773987
p2,4,101.28522872924805
p2,5,133.62588572502136
p2,6,151.43372178077698
p2,7,172.5251932144165
p2,8,210.39179253578186
p2,9,235.18057870864868
p2,10,265.2003493309021
p3,1,43.674089431762695
p3,2,63.70489954948425
p3,3,90.62796258926392
p3,4,115.20210814476013
p3,5,131.52009558677673
p3,6,150.3778715133667
p3,7,183.2855122089386
p3,8,205.3773353099823
p3,9,210.50911498069763
p3,10,249.65132427215576
