model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.8, 1.1, 0.1100227982, 0.3401167095, 0.99593490, 0.99630350, 0.99350077, 0.99404877, 0.80188781, 0.80597711
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.1, 1.4, 0.0258141086, 0.0487835854, 0.99995559, 0.99995029, 0.99991155, 0.99991238, 0.98893970, 0.98937649
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.5, 1.8, 0.1400996298, 0.2240155339, 0.96237880, 0.96268225, 0.96078342, 0.96110982, 0.91076124, 0.91258281
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 1.8, 2.2, 0.5948394537, 0.6157333255, 0.68557352, 0.68626696, 0.68321693, 0.68417311, 0.67028135, 0.67085874
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 2.3, 2.7, 0.5961472988, 0.6222916245, 0.68473828, 0.68537754, 0.68414539, 0.68505007, 0.67471266, 0.67515159
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 2.8, 3.2, 0.5961387157, 0.6305018663, 0.68538690, 0.68602395, 0.68105048, 0.68205357, 0.66729110, 0.66811490
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 3.1, 3.5, 0.5965669155, 0.6775600910, 0.68486267, 0.68549114, 0.68343794, 0.68443185, 0.63447058, 0.63680482
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 3.5, 4.2, 0.5967087150, 0.6230048537, 0.68499595, 0.68564308, 0.68144840, 0.68247408, 0.67114604, 0.67163461
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 4.3, 5.3, 0.5941139460, 0.6522181034, 0.68564904, 0.68624997, 0.68525070, 0.68616152, 0.64066720, 0.64262843
./saved_models/results_synthetic/acrgnn_elu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 4.7, 5.3, 0.5967987776, 0.6601943970, 0.68416071, 0.68480325, 0.68131578, 0.68233043, 0.64365745, 0.64543641
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.8, 0.9, 0.5144096613, 0.7252095342, 0.72724450, 0.73470110, 0.74526495, 0.75246012, 0.51950860, 0.52087885
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.4, 1.5, 0.3626444638, 0.5791772604, 0.84372932, 0.84624308, 0.84910202, 0.85138416, 0.76568073, 0.76725614
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.7, 1.9, 0.3786502481, 0.4365138412, 0.83253640, 0.83489823, 0.83920854, 0.84135103, 0.80433762, 0.80432975
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 2.4, 2.6, 0.3778994381, 0.4103950560, 0.83151078, 0.83380431, 0.83880740, 0.84091276, 0.81860429, 0.81796056
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 2.6, 3.0, 0.3771049976, 0.4254743755, 0.83211017, 0.83443522, 0.83800524, 0.84027904, 0.79482651, 0.79569298
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 3.1, 4.4, 0.3744592071, 0.4799383283, 0.83486730, 0.83718556, 0.83903027, 0.84112072, 0.77958715, 0.77987945
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.9, 3.4, 0.3800832331, 0.4743517041, 0.83217227, 0.83454758, 0.83555418, 0.83763552, 0.79547501, 0.79512095
./saved_models/results_synthetic/acrgnn_elu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 3.8, 4.7, 0.3763585389, 0.5055168867, 0.83232325, 0.83466262, 0.83965415, 0.84181768, 0.79212451, 0.79146266
