model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.7, 0.8, 0.0563401505, 0.2701870501, 0.99985784, 0.99987197, 1.00000000, 1.00000000, 0.90049356, 0.90272886
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.0, 1.0, 0.0214310531, 0.0951357186, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 0.96184748, 0.96321839
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.4, 1.8, 0.0771287307, 0.2042939812, 0.98798239, 0.98808545, 0.98921216, 0.98932964, 0.92293835, 0.92452645
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 2.0, 2.3, 0.4636066258, 0.5765705109, 0.78549534, 0.78625667, 0.77942348, 0.78038937, 0.71160430, 0.71383041
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 1.8, 1.9, 0.5957546830, 0.6240780354, 0.68561792, 0.68624538, 0.68259794, 0.68347347, 0.67067766, 0.67126811
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 2.4, 2.9, 0.5955390334, 0.6255262494, 0.68584454, 0.68648416, 0.68131578, 0.68221360, 0.67129010, 0.67182535
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.8, 3.2, 0.5955531597, 0.6395023465, 0.68604887, 0.68667132, 0.68348217, 0.68436319, 0.66721910, 0.66787875
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 3.3, 5.4, 0.5957247019, 0.6217227578, 0.68472493, 0.68536341, 0.68299586, 0.68395972, 0.66725510, 0.66784209
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 5.6, 5.7, 0.5939124227, 0.6545578837, 0.68646204, 0.68709767, 0.68458748, 0.68541616, 0.66376048, 0.66448855
./saved_models/results_synthetic/acrgnn_gelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 3.6, 3.7, 0.5981347561, 0.7189478874, 0.68483156, 0.68547595, 0.68100625, 0.68190223, 0.63702852, 0.63860363
./saved_models/results_synthetic/acrgnn_gelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.7, 0.7, 0.4921619594, 0.7424867153, 0.75483394, 0.76075619, 0.76848346, 0.77369362, 0.52458841, 0.52653813
