model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.7, 0.7, 0.1212958917, 0.8517290354, 0.96215224, 0.96307540, 0.95653903, 0.95700604, 0.71513492, 0.71888137
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 0.9, 1.0, 0.0216184352, 0.0483710058, 0.99989784, 0.99989551, 0.99995577, 0.99994999, 0.98544514, 0.98579109
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.2, 1.3, 0.0972055867, 0.2896541357, 0.97465855, 0.97488165, 0.97475463, 0.97499889, 0.87945384, 0.88118529
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 1.5, 1.8, 0.5930415392, 0.6254882216, 0.68687081, 0.68755370, 0.68494117, 0.68586010, 0.66920054, 0.67002326
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 1.8, 2.1, 0.5955647230, 0.6363943815, 0.68509811, 0.68572068, 0.68564862, 0.68652081, 0.66595817, 0.66682863
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 2.3, 2.3, 0.5957674384, 0.6549618840, 0.68510705, 0.68572700, 0.68330532, 0.68415099, 0.64463019, 0.64656568
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.4, 2.7, 0.5964023471, 0.6287491918, 0.68519145, 0.68585724, 0.68189055, 0.68283910, 0.66343623, 0.66413885
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 2.7, 3.0, 0.5956664085, 0.6706587672, 0.68506259, 0.68566138, 0.68396854, 0.68494946, 0.65554637, 0.65678841
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 3.0, 3.6, 0.5946511626, 0.6393132806, 0.68610662, 0.68669045, 0.68445486, 0.68542397, 0.65904099, 0.66012067
./saved_models/results_synthetic/acrgnn_relu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 3.5, 4.0, 0.5976213813, 0.6648069024, 0.68423182, 0.68489832, 0.68193471, 0.68300831, 0.65601468, 0.65682733
./saved_models/results_synthetic/acrgnn_relu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.7, 0.6, 0.5613666177, 0.6924579144, 0.69359457, 0.70011324, 0.69535184, 0.70086193, 0.63800120, 0.63648939
./saved_models/results_synthetic/acrgnn_relu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 0.9, 0.9, 0.3739723861, 0.5502772927, 0.84014189, 0.84275997, 0.84691828, 0.84932297, 0.72749215, 0.72794813
./saved_models/results_synthetic/acrgnn_relu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.3, 1.4, 0.3807722330, 0.4901803136, 0.83313578, 0.83553350, 0.83987701, 0.84204811, 0.76016861, 0.76193893
