model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 3.8, 3.7, 0.0792208239, 0.7492800355, 0.98989278, 0.99076229, 0.99071538, 0.99138641, 0.73610258, 0.74049717
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 5.0, 7.4, 0.0062080151, 0.0300346594, 0.99992001, 0.99992043, 0.99991155, 0.99991387, 0.99906331, 0.99911106
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 5.8, 6.1, 0.6072704792, 0.6299694777, 0.67500865, 0.67522800, 0.66955525, 0.66984832, 0.64898944, 0.64998263
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 8.4, 8.6, 0.6307393312, 0.6520721316, 0.64661950, 0.64697522, 0.63816428, 0.63859951, 0.62027597, 0.62093937
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 1.8, 2.2, 0.6411126852, 0.6569811106, 0.63759184, 0.63829553, 0.63170928, 0.63254946, 0.60982817, 0.61056173
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 3.5, 3.7, 0.6751710773, 0.6990188360, 0.57290101, 0.57407510, 0.56185341, 0.56293279, 0.51277155, 0.51374525
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.4, 3.4, 0.6717700362, 0.6897833943, 0.57855666, 0.57944608, 0.56967902, 0.57125014, 0.52797490, 0.52863848
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 2.9, 3.0, 0.6747574806, 0.6913009882, 0.56705880, 0.56843156, 0.57361394, 0.57547766, 0.52019310, 0.52094936
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 4.9, 12.0, 0.6790642738, 0.6924086809, 0.54930562, 0.54944551, 0.55796266, 0.55826032, 0.52916384, 0.52986276
./saved_models/results_synthetic/acrgnn_relu6/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 14.9, 19.2, 0.6852329969, 0.6921128035, 0.54501837, 0.54611361, 0.53245205, 0.53357589, 0.50498974, 0.50695741
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 3.0, 2.7, 0.5588581562, 0.6922508478, 0.69342142, 0.70002383, 0.70261598, 0.70857561, 0.64632344, 0.64455783
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 4.4, 4.9, 0.4396044910, 0.6346741319, 0.81702340, 0.82015342, 0.82378894, 0.82679737, 0.66581404, 0.66687632
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 3.6, 4.8, 0.5732017159, 0.6725168824, 0.68779606, 0.69383621, 0.67904097, 0.68516034, 0.60363150, 0.60417491
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 7.3, 5.5, 0.5709576607, 0.6660144329, 0.67780191, 0.68391579, 0.68857795, 0.69476652, 0.62895846, 0.62874579
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 9.7, 11.9, 0.5800702572, 0.6661769748, 0.66927290, 0.67513496, 0.66914749, 0.67432958, 0.64336926, 0.64416200
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 11.7, 8.4, 0.5858045816, 0.6768134832, 0.66472644, 0.67082816, 0.65248007, 0.65843558, 0.55906618, 0.55928981
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 7.3, 8.9, 0.6026793122, 0.7510848641, 0.65723193, 0.66264641, 0.67436159, 0.67743224, 0.45909140, 0.45967147
./saved_models/results_synthetic/acrgnn_relu6/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 10.2, 12.7, 0.6126279831, 0.7060781121, 0.63985866, 0.64414406, 0.64312136, 0.64797240, 0.51147461, 0.51043743
