model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.6, 0.7, 0.1220845282, 0.2557133436, 0.99200749, 0.99270362, 0.98527724, 0.98654002, 0.84976763, 0.85255110
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.6, 1.4, 0.0195016880, 0.0411760323, 0.99999553, 0.99999499, 1.00000000, 1.00000000, 0.99110132, 0.99151057
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 2.0, 2.2, 0.1455105692, 0.2004584223, 0.95982426, 0.96015489, 0.95888233, 0.95919871, 0.93035990, 0.93124950
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 3.1, 3.4, 0.5954379439, 0.6122285724, 0.68526697, 0.68592405, 0.68441063, 0.68536961, 0.67644197, 0.67686146
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 3.8, 4.2, 0.5963510871, 0.6202899218, 0.68446726, 0.68508744, 0.68250948, 0.68344325, 0.67110997, 0.67163283
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 4.3, 4.9, 0.5976209044, 0.6191599965, 0.68444949, 0.68508166, 0.68021047, 0.68116510, 0.67301941, 0.67356509
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 5.8, 6.3, 0.5958845615, 0.6316804886, 0.68532473, 0.68593138, 0.68357062, 0.68454474, 0.66855210, 0.66923195
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 6.7, 7.2, 0.5966556668, 0.6413199902, 0.68511146, 0.68572742, 0.68485278, 0.68581033, 0.66437298, 0.66500205
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 7.9, 8.2, 0.5942254663, 0.7014773488, 0.68596005, 0.68656230, 0.68458748, 0.68544286, 0.62888640, 0.63111246
./saved_models/results_synthetic/acrgnn_softplus/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 9.8, 9.1, 0.5961257815, 0.7629537582, 0.68414742, 0.68482691, 0.68277478, 0.68375576, 0.62013185, 0.62212628
