model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 1.0, 1.2, 0.0619468689, 0.4590248466, 0.98227787, 0.98269451, 0.98372978, 0.98360217, 0.85023600, 0.85311574
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.1, 2.0, 0.0111135747, 0.7987567186, 0.99920475, 0.99919504, 0.99902731, 0.99900562, 0.74536151, 0.74566478
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.4, 2.7, 0.6471989155, 0.6806167364, 0.62786669, 0.62876481, 0.62335306, 0.62423527, 0.56328136, 0.56419593
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 1.6, 1.6, 0.7027581930, 0.7467381954, 0.61265916, 0.61272615, 0.52307898, 0.52528167, 0.50625068, 0.50762594
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 2.0, 2.7, 0.6901062131, 0.6962108016, 0.53613287, 0.53714067, 0.52245998, 0.52379370, 0.51374429, 0.51514846
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 2.4, 2.6, 0.6918221116, 0.6947877407, 0.52887785, 0.53008866, 0.52161998, 0.52230555, 0.51190692, 0.51320088
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.8, 4.5, 0.6921375990, 0.6937116981, 0.52590120, 0.52693325, 0.51688921, 0.51801318, 0.51464498, 0.51603150
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 2.5, 2.7, 0.6817564964, 0.6897556186, 0.55797786, 0.55911422, 0.55579627, 0.55723745, 0.52966821, 0.53068781
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 3.6, 5.5, 0.6901381612, 0.6957884431, 0.53299183, 0.53424978, 0.52661598, 0.52776283, 0.50960118, 0.51071358
./saved_models/results_synthetic/acrgnn_trrelu/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 3.2, 3.6, 0.6907094121, 0.6951679587, 0.52927327, 0.53090578, 0.52294630, 0.52479577, 0.50567424, 0.50679719
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.6, 0.6, 0.4890301526, 0.7251175642, 0.76941448, 0.77372378, 0.76041710, 0.76433682, 0.49263248, 0.49548453
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 1.9, 0.9, 0.5710527897, 0.6569351554, 0.68228620, 0.68741828, 0.68314093, 0.68935722, 0.63580358, 0.63656962
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072, 1.4, 1.4, 0.5690813065, 0.6643208861, 0.68101639, 0.68666971, 0.67988771, 0.68566084, 0.64009076, 0.64096838
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817, 1.6, 1.7, 0.6241852045, 0.7350358963, 0.64042693, 0.64499396, 0.63915503, 0.64402854, 0.46989948, 0.47125456
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204, 2.0, 2.7, 0.6639570594, 0.8603548408, 0.63015747, 0.63363022, 0.64312136, 0.64598441, 0.39597219, 0.39711145
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308, 2.1, 4.4, 0.6565929651, 0.7636829019, 0.63040614, 0.63388318, 0.64312136, 0.64598441, 0.39597219, 0.39711145
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423, 2.6, 3.3, 0.6243944168, 0.7221280336, 0.64527971, 0.64978302, 0.66036808, 0.66303962, 0.52022916, 0.51890188
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474, 4.0, 3.4, 0.6231805682, 0.7480360866, 0.64108402, 0.64549470, 0.65100938, 0.65468431, 0.41715604, 0.41756552
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589, 3.3, 3.5, 0.6880530715, 0.7231295109, 0.63241297, 0.63707018, 0.61277241, 0.61612511, 0.47296178, 0.47326297
./saved_models/results_synthetic/acrgnn_trrelu/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704, 3.6, 5.8, 0.6477060318, 0.7803360820, 0.63039726, 0.63384402, 0.64312136, 0.64598441, 0.39597219, 0.39711145
./saved_models/results_synthetic/acrgnn_trrelu/p3/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004, 0.7, 0.9, 0.5729327202, 0.5832463503, 0.69372338, 0.70104694, 0.68952811, 0.69517142, 0.74045473, 0.73588288
./saved_models/results_synthetic/acrgnn_trrelu/p3/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038, 0.8, 0.9, 0.4942854941, 0.5519073606, 0.75545293, 0.76280445, 0.75229722, 0.75884837, 0.74081558, 0.73786789
