key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.112330839,0.1085041314,0.3495478332,0.99388236,0.99444026,0.9894774,0.99038625,0.79731238,0.80097884,0.055548
p1,1,2,0.0445287824,0.0175898504,0.0431091562,0.99999553,0.99999499,1.0,1.0,0.98994851,0.99033743,0.10905
p1,1,3,0.1431961507,0.1371924877,0.2134295553,0.96252543,0.96283281,0.96007603,0.96033162,0.91836292,0.91987544,0.162936
p1,1,4,0.5903958082,0.5944031477,0.614379108,0.6856268,0.68631309,0.68268633,0.68359715,0.67211872,0.67268687,0.216758
p1,1,5,0.5925297141,0.5961292982,0.6225001812,0.68488044,0.68550897,0.68392432,0.68486631,0.67449653,0.6749593,0.27058
p1,1,6,0.5910144448,0.5950228572,0.6284347773,0.6850493,0.68570977,0.68361479,0.68462133,0.66833591,0.66911781,0.324402
p1,1,7,0.5941732526,0.5954912901,0.6760084033,0.68547577,0.68609029,0.68383586,0.6848371,0.63735276,0.63959396,0.378288
p1,1,8,0.5928554535,0.5957182646,0.6256165504,0.68476051,0.68541306,0.68304008,0.68404579,0.66977698,0.67024583,0.43211
p1,1,9,0.5928613544,0.5938674212,0.6512748599,0.68598223,0.68654895,0.68507385,0.68588853,0.63962245,0.6416325,0.485933
p1,1,10,0.5917833447,0.5957993865,0.6596155167,0.68483603,0.685489,0.68264216,0.6835807,0.64225239,0.64404613,0.539766
p2,1,1,0.5278464556,0.5138158798,0.7237839699,0.72649413,0.73403442,0.74192256,0.74938494,0.52300322,0.52417159,0.055548
p2,1,2,0.3803201318,0.3588447571,0.5981355906,0.84546089,0.84800351,0.85159767,0.85393602,0.76189792,0.76362526,0.10905
p2,1,3,0.3913526535,0.3785886467,0.4418895841,0.8354134,0.83769894,0.83938676,0.84157431,0.79774469,0.79756796,0.162936
p2,1,4,0.4081018567,0.3872311711,0.4098256528,0.8300367,0.83230996,0.8338607,0.8359285,0.82044166,0.81977272,0.216758
p2,1,5,0.396605283,0.3793699145,0.4266812801,0.83413476,0.83643341,0.83666831,0.83884221,0.79515076,0.79597372,0.27058
p2,1,6,0.3958237767,0.3736543357,0.4777990282,0.83612382,0.83840263,0.83822811,0.84042197,0.78290159,0.78310049,0.324402
p2,1,7,0.3991484046,0.3779705167,0.4612241387,0.83371294,0.83601868,0.83800524,0.84029359,0.79864538,0.79832464,0.378288
p2,1,8,0.3927045763,0.3765718043,0.5216177106,0.83482289,0.83709139,0.83974332,0.84182322,0.78643227,0.7858749,0.43211
p2,1,9,0.3977642953,0.3765234947,0.4465609193,0.83476967,0.83710271,0.83751506,0.83975649,0.81424505,0.81353992,0.485933
p2,1,10,0.4021000266,0.3759343922,0.5303335786,0.83399707,0.83629149,0.83608896,0.83836383,0.77584034,0.77684879,0.539766
p3,1,1,0.5264958143,0.5298216939,0.5912413001,0.70523208,0.71285295,0.70510942,0.71210563,0.72616386,0.72124457,0.055548
p3,1,2,0.4584870338,0.4630582929,0.5503868461,0.76347834,0.77143455,0.76539266,0.77269465,0.76997477,0.76589304,0.10905
p3,1,3,0.4509486556,0.4573976994,0.5251982808,0.7707296,0.77848411,0.767479,0.77481347,0.76456153,0.760405,0.162936
p3,1,4,0.4525704384,0.4593491852,0.5492610931,0.7703737,0.77798122,0.76628047,0.77400357,0.75283289,0.74915409,0.216758
p3,1,5,0.4458154738,0.4515220523,0.6275219321,0.77091199,0.77863562,0.76503754,0.77218783,0.75175029,0.74738079,0.27058
p3,1,6,0.4554035664,0.4619399905,1.4342771769,0.77112108,0.77828079,0.76392776,0.77156639,0.36463371,0.37322414,0.324402
p3,1,7,0.4694830775,0.4630281329,1.0574421883,0.76883894,0.77657026,0.75860077,0.7660107,0.43767592,0.44380677,0.378288
p3,1,8,0.4599853456,0.4598042965,0.6519519091,0.76701057,0.77497637,0.7590003,0.76639748,0.76286536,0.75892556,0.43211
p3,1,9,0.4486909807,0.4609008133,0.633215785,0.76856315,0.77632648,0.76712388,0.77476388,0.70555758,0.70385474,0.485933
p3,1,10,0.4624803066,0.4582249522,1.2889317274,0.77325648,0.78034401,0.77200693,0.77910805,0.40949115,0.41845891,0.539766
