key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.054523319,0.0493626744,0.2822548151,0.99994671,0.99995196,0.99995577,0.99995995,0.89998919,0.90185636,0.055548
p1,1,2,0.0410245247,0.0121538769,0.0711493269,1.0,1.0,1.0,1.0,0.97470909,0.97571474,0.10905
p1,1,3,0.0881496668,0.0750540867,0.1918217242,0.99124336,0.99131405,0.99022901,0.99031734,0.92877471,0.93016547,0.162936
p1,1,4,0.4514544904,0.4589710832,0.578119576,0.7876634,0.78838176,0.78145725,0.78243804,0.71275717,0.71501178,0.216758
p1,1,5,0.5913598537,0.5947105289,0.6243366599,0.68613774,0.68673533,0.68299586,0.68388414,0.67042547,0.6710242,0.27058
p1,1,6,0.5900403261,0.5938341022,0.6252233386,0.68643099,0.68707049,0.68206739,0.68304849,0.67042547,0.67093956,0.324402
p1,1,7,0.593223393,0.5951857567,0.6404836774,0.68603557,0.68664581,0.6832611,0.68421787,0.66545373,0.66611946,0.378288
p1,1,8,0.5930849314,0.5952091813,0.6199435592,0.68496931,0.68558908,0.6837917,0.68459523,0.66844398,0.66893858,0.43211
p1,1,9,0.5920308828,0.5936331749,0.6516068578,0.68658203,0.68720007,0.68458748,0.68540323,0.66451705,0.66521651,0.485933
p1,1,10,0.5919995308,0.5959499478,0.7148281336,0.68547136,0.68610877,0.68312848,0.68393457,0.63951433,0.64112544,0.539766
p2,1,1,0.5016773939,0.4887917936,0.7364188433,0.75267172,0.75875789,0.76714647,0.77290118,0.53417158,0.53613383,0.055548
p2,1,2,0.3786024749,0.3589485884,0.4856972396,0.84595817,0.84835422,0.85026073,0.85269469,0.77497566,0.77533603,0.10905
p2,1,3,0.3864024282,0.3751512766,0.441776365,0.84002644,0.84228474,0.84335309,0.84547216,0.80123931,0.80162442,0.162936
p2,1,4,0.3959836364,0.3769539893,0.3875543475,0.83603054,0.83821267,0.84081286,0.8428638,0.82984471,0.82911986,0.216758
p2,1,5,0.3891617656,0.3752876818,0.4990467727,0.83574641,0.83798718,0.83827263,0.8404668,0.751342,0.75357193,0.27058
p2,1,6,0.3939677775,0.3743665218,0.4935190678,0.83603501,0.83828104,0.8385846,0.84076303,0.76805848,0.76998597,0.324402
p2,1,7,0.3921765387,0.3706445396,0.4631307721,0.83741581,0.83972442,0.83996612,0.84213215,0.79352957,0.79334748,0.378288
p2,1,8,0.3865873218,0.3715225458,0.5692321658,0.83642125,0.83871454,0.84018898,0.8422882,0.75476456,0.75538373,0.43211
p2,1,9,0.3916634619,0.3724506497,0.464312762,0.83821052,0.84042305,0.83911937,0.8411774,0.80905718,0.80893737,0.485933
p2,1,10,0.4127457738,0.383476764,0.6200531721,0.83015662,0.8326208,0.83444005,0.83667213,0.73188746,0.73437864,0.539766
p3,1,1,0.5073589683,0.5103442073,0.5286976099,0.72024184,0.7272349,0.71980292,0.72598106,0.76405632,0.75999063,0.055548
p3,1,2,0.4523054063,0.4585550427,0.5610404015,0.76768672,0.77557009,0.76699072,0.77425891,0.7697221,0.76562071,0.10905
p3,1,3,0.4522121549,0.4610187411,0.6291909814,0.77040935,0.7781195,0.76898831,0.7762394,0.67300612,0.67198533,0.162936
p3,1,4,0.4513002336,0.4616893828,0.5566020012,0.76997334,0.77757668,0.76517069,0.77289987,0.72237462,0.71972233,0.216758
p3,1,5,0.4424500465,0.4624801874,1.2892925739,0.77075189,0.77825373,0.74310827,0.75085533,0.33850595,0.3454344,0.27058
p3,1,6,0.4474367201,0.4444814324,0.6426208615,0.77654403,0.78337747,0.77875441,0.78584999,0.67322266,0.67195535,0.324402
p3,1,7,0.463282764,0.4519206285,0.6342922449,0.77280271,0.78044391,0.76765656,0.77478766,0.76784557,0.76374155,0.378288
p3,1,8,0.4608004689,0.461384058,0.6823253632,0.76879889,0.77657145,0.76290673,0.77051151,0.62147242,0.62003678,0.43211
p3,1,9,0.4481649399,0.4648359418,0.6550490856,0.76556921,0.77367741,0.75322944,0.76112098,0.71623963,0.71326017,0.485933
p3,1,10,0.4574728012,0.4609175622,0.7683107853,0.77207756,0.77896452,0.76224089,0.77007234,0.66391194,0.66159916,0.539766
