key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.0739955306,0.0756427348,0.7295961976,0.99309599,0.99368691,0.98921216,0.99011099,0.73876858,0.74294639,0.055548
p1,1,2,0.0437103882,0.0057902443,0.027609542,0.99990225,0.99990195,0.99991155,0.99991387,0.99963975,0.9996441,0.10905
p1,1,3,0.6045445204,0.6071677208,0.6307289004,0.67519969,0.67541057,0.66977626,0.66982442,0.64711607,0.64813149,0.162936
p1,1,4,0.6275655031,0.6313967705,0.6547048688,0.64616191,0.646465,0.63767797,0.63816071,0.61797023,0.61863518,0.216758
p1,1,5,0.6381300092,0.6407633424,0.6589424014,0.63701874,0.63771486,0.62680167,0.62784576,0.60557699,0.60613209,0.27058
p1,1,6,0.670727849,0.6739170551,0.7003264427,0.57191473,0.57309884,0.56335664,0.56425303,0.50902474,0.5102815,0.324402
p1,1,7,0.6706506014,0.6720282435,0.6892813444,0.57778805,0.57855481,0.5660094,0.56776792,0.53082103,0.53164649,0.378288
p1,1,8,0.6754727364,0.6755262017,0.6898946762,0.56734318,0.56872737,0.57038641,0.57214355,0.52098572,0.52187622,0.43211
p1,1,9,0.6803652644,0.6789097786,0.6907954812,0.55170912,0.55163664,0.55628258,0.55668181,0.53013653,0.53099757,0.485933
p1,1,10,0.6845579147,0.6848078966,0.6919414401,0.54364556,0.54472458,0.53678489,0.53729296,0.51349211,0.51508099,0.539766
p2,1,1,0.5533946753,0.546515286,0.7052254081,0.69585001,0.7027986,0.70778555,0.71466988,0.57956553,0.57708955,0.055548
p2,1,2,0.45840168,0.4375351667,0.6358159184,0.81924778,0.82235372,0.82632917,0.82924467,0.66534567,0.66650617,0.10905
p2,1,3,0.5691506267,0.5724074841,0.6720178127,0.68933231,0.69531578,0.68193769,0.68770546,0.60020894,0.60061461,0.162936
p2,1,4,0.5727626085,0.5709396601,0.666388154,0.67804164,0.6842224,0.6882214,0.69422704,0.63306552,0.6328463,0.216758
p2,1,5,0.5811870098,0.5767134428,0.6661031842,0.67001879,0.67602199,0.67453986,0.68006027,0.64441401,0.64521593,0.27058
p2,1,6,0.5974369049,0.585033834,0.6771638989,0.66620493,0.67231345,0.65675831,0.66240507,0.55672443,0.55716544,0.324402
p2,1,7,0.6097471118,0.6038476229,0.753275454,0.65614414,0.66128427,0.67057353,0.67327988,0.4584069,0.45859283,0.378288
p2,1,8,0.6247245073,0.6105464101,0.7058501244,0.64058232,0.64486545,0.64294308,0.64728737,0.49306482,0.49248585,0.43211
p2,1,9,0.6214882135,0.6206232309,0.7047901154,0.64339721,0.6478135,0.64414632,0.64863068,0.53413552,0.53426492,0.485933
p2,1,10,0.6443071365,0.6350855827,0.758100152,0.63037062,0.63436657,0.63964528,0.6434409,0.4570739,0.45773172,0.539766
p3,1,1,0.5629912615,0.5694419146,0.5651500821,0.69123662,0.69761097,0.69125938,0.6969707,0.75705522,0.75246191,0.055548
p3,1,2,0.4731197953,0.4910429418,0.5357832313,0.76394099,0.77152628,0.7428419,0.75105208,0.76943344,0.76530707,0.10905
p3,1,3,0.5806857347,0.5961313248,0.5624567866,0.67485666,0.68133402,0.66751009,0.67499936,0.77105737,0.76704955,0.162936
p3,1,4,0.6101246476,0.6293491125,0.5868327618,0.66353035,0.67067361,0.63776803,0.6447109,0.73944426,0.7336027,0.216758
p3,1,5,0.6154587865,0.6300697327,0.5933519006,0.6534586,0.6608243,0.64349449,0.65044498,0.75528687,0.75076771,0.27058
p3,1,6,0.6162459254,0.6210305691,0.6271326542,0.66087455,0.66919726,0.66049629,0.66904509,0.70440274,0.69894016,0.324402
p3,1,7,0.6506975889,0.6517315507,0.734960556,0.61635679,0.62302274,0.610645,0.61756146,0.51392996,0.51355278,0.378288
p3,1,8,0.6647162437,0.6736297607,0.7129500508,0.58934015,0.59516394,0.57539839,0.58105588,0.49797907,0.49771076,0.43211
p3,1,9,0.6465841532,0.6572908759,0.6775033474,0.61921287,0.62522322,0.61295336,0.62004483,0.68798268,0.6828354,0.485933
p3,1,10,0.6416438222,0.6426109672,0.6546196938,0.63291472,0.63964343,0.64069784,0.64743936,0.66347891,0.6587733,0.539766
