key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.1195526943,0.1168178916,0.3929165602,0.98503238,0.98631096,0.97961801,0.98129457,0.83020496,0.83365428,0.055548
p1,1,2,0.0455936082,0.008501946,0.0765799582,0.99986672,0.99986202,0.99986738,0.99986511,0.96692729,0.96711445,0.10905
p1,1,3,0.6160417199,0.6214772463,0.6439213157,0.6565935,0.65669328,0.6477142,0.64787799,0.62229347,0.62332106,0.162936
p1,1,4,0.6280316114,0.6317135692,0.6481107473,0.64494902,0.64524132,0.63604212,0.63634235,0.62128472,0.62192631,0.216758
p1,1,5,0.6509809494,0.6568015218,0.6760809422,0.60980248,0.61104792,0.59271377,0.59404039,0.56342542,0.56423742,0.27058
p1,1,6,0.6467429399,0.6495357156,0.6922954321,0.61911446,0.61908913,0.6156159,0.61543,0.55553555,0.55718142,0.324402
p1,1,7,0.6642364264,0.6646143198,0.7022457123,0.58593607,0.58689415,0.57883102,0.57985669,0.52213854,0.52309912,0.378288
p1,1,8,0.6851102114,0.6858818531,0.6923544407,0.54845703,0.54957795,0.54363781,0.5445084,0.52062541,0.52198356,0.43211
p1,1,9,0.6551180482,0.6582129002,0.6924489141,0.60309392,0.60411477,0.59280217,0.59332836,0.54206145,0.54304856,0.485933
p1,1,10,0.6875880361,0.6880424619,0.6968443394,0.54272592,0.54455775,0.53448582,0.53639048,0.50099075,0.50194532,0.539766
p2,1,1,0.5294579268,0.5159387589,0.7215476632,0.72481143,0.73230451,0.74138778,0.74867445,0.51626617,0.51776278,0.055548
p2,1,2,0.5436905622,0.5337649584,0.7081220746,0.71535891,0.72309446,0.72730511,0.73473251,0.45123753,0.45292285,0.10905
p2,1,3,0.5727561712,0.5714969039,0.6654145122,0.67965335,0.68566549,0.67881811,0.68480188,0.61566454,0.61633718,0.162936
p2,1,4,0.5728965402,0.567653358,0.6636010408,0.68296552,0.68916744,0.70604753,0.71110094,0.63079584,0.63045466,0.216758
p2,1,5,0.5816178322,0.5787366629,0.6664618254,0.66915298,0.67534971,0.66736484,0.67320871,0.62016791,0.61984563,0.27058
p2,1,6,0.583643198,0.5867507458,0.659098506,0.67074251,0.67658693,0.67810506,0.68347019,0.64135176,0.64092779,0.324402
p2,1,7,0.6352620125,0.6302564144,0.7688794732,0.6386199,0.64211661,0.63964528,0.64349836,0.39525166,0.39605871,0.378288
p2,1,8,0.5927608609,0.5802462101,0.6612837911,0.6626308,0.66923028,0.66045725,0.66595578,0.65511405,0.65371448,0.43211
p2,1,9,0.6469348669,0.6374813914,0.7640042305,0.63069469,0.63416708,0.64477026,0.64777166,0.39716107,0.39824352,0.485933
p2,1,10,0.6511253119,0.641888082,0.7689977288,0.63039726,0.63388234,0.64316595,0.646043,0.39928666,0.40020582,0.539766
p3,1,1,0.5285881758,0.5327816606,0.6263489127,0.7042222,0.71191174,0.7033338,0.71046358,0.66990256,0.66684079,0.055548
p3,1,2,0.5652579069,0.5915475488,0.6277683973,0.6911521,0.69891882,0.67181605,0.68000478,0.73814505,0.73332399,0.10905
p3,1,3,0.5819473267,0.594011426,0.5754208565,0.68691248,0.69435978,0.68903983,0.69652259,0.7386142,0.73401511,0.162936
p3,1,4,0.60732162,0.6256623864,0.5999774337,0.66645759,0.67387694,0.65161806,0.65963018,0.71959579,0.7145825,0.216758
p3,1,5,0.6150445938,0.6246663928,0.6072013974,0.65135437,0.65877318,0.6478892,0.65603536,0.73944426,0.73485291,0.27058
p3,1,6,0.6284176111,0.6326721311,0.64503932,0.63888925,0.64561915,0.64602476,0.65303838,0.66914469,0.6642068,0.324402
p3,1,7,0.6243332028,0.6363041401,0.6079936624,0.64646977,0.65348816,0.63186401,0.63886452,0.72706604,0.72262341,0.378288
p3,1,8,0.6453173161,0.6531053185,0.7299388647,0.62565452,0.63381934,0.59639543,0.60614806,0.52692169,0.52509058,0.43211
p3,1,9,0.6506880522,0.6549711823,0.7444409132,0.59904712,0.6058988,0.59577394,0.60306525,0.48639479,0.48623908,0.485933
p3,1,10,0.6717817187,0.6774078608,0.7627179623,0.57594079,0.58380181,0.56447816,0.57393181,0.29924214,0.30203089,0.539766
