key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.0361397006,0.0309304483,0.0654476881,1.0,1.0,1.0,1.0,0.998703,0.99878609,0.055548
p1,1,2,0.0420309231,0.0133851273,0.0289051607,1.0,1.0,1.0,1.0,0.99711782,0.99720836,0.10905
p1,1,3,0.1392150521,0.1336064637,0.2241833806,0.96773678,0.96795654,0.96613318,0.96633029,0.91746229,0.91890091,0.162936
p1,1,4,0.5907118917,0.5945504308,0.6163085103,0.68508035,0.68573415,0.68228847,0.68331116,0.67165041,0.67202306,0.216758
p1,1,5,0.5914778113,0.5948914886,0.6292178035,0.68495154,0.68556017,0.68286324,0.68367422,0.66941673,0.66998971,0.27058
p1,1,6,0.590901494,0.5943532586,0.6187594533,0.68488491,0.68554753,0.68392432,0.68482292,0.66945273,0.67015475,0.324402
p1,1,7,0.594111979,0.5952925086,0.6461293697,0.68540025,0.68604457,0.68436641,0.68523216,0.6581403,0.65931213,0.378288
p1,1,8,0.5923091173,0.5947768092,0.6645570397,0.685498,0.6861046,0.68396854,0.68496668,0.65486181,0.65608907,0.43211
p1,1,9,0.5924857259,0.5946081281,0.6379824877,0.68619549,0.68679875,0.6837917,0.68470967,0.64888138,0.65030801,0.485933
p1,1,10,0.5926455259,0.5961800218,0.640491724,0.68452948,0.68518919,0.68180209,0.68267494,0.65958136,0.6606853,0.539766
p2,1,1,0.5366873741,0.5241794586,0.6881083846,0.72095758,0.72894925,0.73497039,0.74302584,0.56000286,0.55986273,0.055548
p2,1,2,0.4132456183,0.3926717043,0.7303772569,0.83047181,0.83340031,0.83920854,0.84188372,0.64794469,0.65305936,0.10905
p2,1,3,0.3920779824,0.3787262142,0.4211927354,0.83641237,0.83871096,0.84134763,0.84352171,0.81154305,0.81114161,0.162936
p2,1,4,0.4079074264,0.3851536512,0.474553287,0.83001894,0.83230603,0.83582157,0.8378579,0.76701373,0.76831269,0.216758
p2,1,5,0.3974280953,0.3819934428,0.425414592,0.83296263,0.8352415,0.83706939,0.83915704,0.81154305,0.81079924,0.27058
p2,1,6,0.3896110654,0.3688596487,0.4412126839,0.83871228,0.84086472,0.84165961,0.84370512,0.80361712,0.80366659,0.324402
p2,1,7,0.3947541118,0.3725215793,0.4226192534,0.83534241,0.83761024,0.83903027,0.841313,0.8170191,0.81671721,0.378288
p2,1,8,0.3869859278,0.3732928038,0.5071032047,0.83709615,0.83933818,0.83782703,0.84018379,0.77825415,0.77783185,0.43211
p2,1,9,0.3951195776,0.3739332259,0.5906937718,0.8368386,0.83908689,0.83907485,0.84121537,0.74510932,0.74740124,0.485933
p2,1,10,0.4054679275,0.3822490871,0.8108248115,0.83190149,0.83429766,0.8357324,0.8382057,0.70875818,0.71197039,0.539766
p3,1,1,0.5183902979,0.5211010575,0.5597285032,0.71167374,0.7191475,0.71127981,0.71803433,0.76120532,0.75673079,0.055548
p3,1,2,0.4568969607,0.4618761241,0.53187567,0.7642746,0.77225679,0.76179695,0.76924777,0.76954168,0.76542103,0.10905
p3,1,3,0.4517515302,0.4541437924,0.5747268796,0.77404386,0.78159595,0.76881075,0.77609068,0.70350057,0.70109206,0.162936
p3,1,4,0.4551307261,0.463843137,0.5469754338,0.76970643,0.7771976,0.76117545,0.7689817,0.7341032,0.73170972,0.216758
p3,1,5,0.4304906428,0.4438603222,1.0590475798,0.78259861,0.78972077,0.76814491,0.77490914,0.5229159,0.52696568,0.27058
p3,1,6,0.4616146982,0.4540761113,0.9533594251,0.76392317,0.77141404,0.77320546,0.78044546,0.49891737,0.50402111,0.324402
p3,1,7,0.4689453542,0.4559966326,0.9186339974,0.77133465,0.77905285,0.76863319,0.77605087,0.52998918,0.53514314,0.378288
p3,1,8,0.4599827826,0.460205406,0.831074059,0.77294064,0.78063005,0.75922227,0.76685083,0.76275712,0.75873816,0.43211
p3,1,9,0.4480315149,0.4684941471,0.9793365598,0.7699244,0.77760816,0.74581611,0.75445324,0.52085888,0.52368706,0.485933
p3,1,10,0.466540277,0.4721642137,0.8181125522,0.76023525,0.76831204,0.75482756,0.76331681,0.76264888,0.75867891,0.539766
