key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.1245084777,0.1179275736,0.2423174679,0.99589491,0.99627823,0.99407554,0.99460131,0.86255717,0.86509383,0.055548
p1,1,2,0.0449177511,0.018459022,0.0433949269,1.0,1.0,1.0,1.0,0.98951614,0.98993492,0.10905
p1,1,3,0.1498498321,0.1447734684,0.1945244223,0.96045065,0.96079445,0.95813072,0.95852363,0.93547571,0.93622082,0.162936
p1,1,4,0.5906267166,0.5946343541,0.611582756,0.68560016,0.68624055,0.68220001,0.68310738,0.67669415,0.67710358,0.216758
p1,1,5,0.5924941301,0.5960033536,0.6212325096,0.68479156,0.68540329,0.68334955,0.6842019,0.67251503,0.67304635,0.27058
p1,1,6,0.5912870169,0.5949061513,0.615724206,0.68540025,0.68606341,0.68449908,0.68538827,0.67446047,0.67491722,0.324402
p1,1,7,0.5941944718,0.595366478,0.6328601837,0.68540025,0.68599981,0.68383586,0.68482107,0.66696692,0.6676631,0.378288
p1,1,8,0.5936304331,0.5958158374,0.6354594231,0.68510258,0.68569654,0.68449908,0.6853717,0.66772348,0.66829699,0.43211
p1,1,9,0.5925791264,0.5940928459,0.7013126612,0.68582678,0.68640947,0.68383586,0.68475592,0.63205677,0.63430035,0.485933
p1,1,10,0.5914688706,0.5951545238,0.7420117259,0.68512034,0.68577659,0.68281901,0.68385285,0.63039953,0.63239133,0.539766
p2,1,1,0.5302289128,0.5165376067,0.7266418934,0.72535753,0.73301762,0.73973882,0.74728125,0.52141804,0.52247918,0.055548
p2,1,2,0.3745397031,0.3514685631,0.5571815372,0.84820032,0.85068125,0.85453898,0.8568638,0.76784235,0.76948071,0.10905
p2,1,3,0.3920776248,0.3795723915,0.453068912,0.83518696,0.83748937,0.83952045,0.84170783,0.79352957,0.79336131,0.162936
p2,1,4,0.4090502858,0.3871908188,0.3995893002,0.83036083,0.8326456,0.83412808,0.83629537,0.82281947,0.82205474,0.216758
p2,1,5,0.3976190984,0.3826859295,0.4078026414,0.83258963,0.83489501,0.83755958,0.83974719,0.82530534,0.82419384,0.27058
p2,1,6,0.3974751532,0.3735123277,0.4219703376,0.83472526,0.83699548,0.83800524,0.84012169,0.82840365,0.82703394,0.324402
p2,1,7,0.3960727155,0.3739008307,0.4401512146,0.83504933,0.83732677,0.8388074,0.84100306,0.79572719,0.79614997,0.378288
p2,1,8,0.3957744837,0.378585428,0.5861245394,0.83154184,0.83392775,0.83729219,0.83935654,0.71639585,0.71972322,0.43211
p2,1,9,0.3996830583,0.378703624,0.6793743968,0.8335886,0.83592069,0.83818352,0.84040648,0.7452895,0.74706739,0.485933
p2,1,10,0.4024709761,0.3792361319,0.4619402587,0.83338439,0.83573526,0.83742589,0.83970869,0.80314875,0.80262768,0.539766
p3,1,1,0.5261176825,0.5289631486,0.5794089437,0.70762545,0.71515352,0.70550895,0.71236068,0.7350415,0.73048192,0.055548
p3,1,2,0.4576333165,0.4621311724,0.5401793718,0.76333594,0.77132571,0.76668,0.77400303,0.77015519,0.76608318,0.10905
p3,1,3,0.4530185759,0.4594394565,0.5278751254,0.76713067,0.77507842,0.76543701,0.77269149,0.76149404,0.75742078,0.162936
p3,1,4,0.4552765489,0.4602479637,0.5295243859,0.76606745,0.77396244,0.7660141,0.77362412,0.76618552,0.76204431,0.216758
p3,1,5,0.4315361083,0.447283566,0.9163277149,0.7861042,0.79303735,0.76823366,0.77529377,0.50050521,0.50492179,0.27058
p3,1,6,0.4571754038,0.453738749,0.7878000736,0.76870549,0.77609384,0.77542502,0.78255796,0.48422953,0.49270231,0.324402
p3,1,7,0.4686848223,0.4608900845,0.5749886632,0.77078748,0.7787165,0.76161939,0.769301,0.74409962,0.74058104,0.378288
p3,1,8,0.457918793,0.4563182294,0.642292738,0.77128571,0.77892876,0.7652151,0.7723369,0.73413932,0.731233,0.43211
p3,1,9,0.4330764413,0.437099874,1.1658053398,0.78863549,0.79544526,0.78314912,0.79001802,0.57874411,0.57913852,0.485933
p3,1,10,0.4619167745,0.4635535777,1.0237233639,0.76799816,0.77544719,0.76210767,0.76953745,0.75774091,0.75303239,0.539766
