Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.47346992045640945,0.5921977629605938,0.791,1.3865859508514404,0.42378760555609474,0.104,1.4296904802322388,0.5021671614328123,0.12
2,0.4493505984544754,0.6113584735729376,1.009,801.45947265625,0.41661275755768806,0.134,1069.2410888671875,0.44171182661812775,0.162
3,0.46576281934976577,0.6067426254746265,1.806,549183.0625,0.4427531760257804,0.168,814500.1875,0.43660756570197806,0.175
4,0.456976643204689,0.6145026196808095,2.232,60617948.0,0.36220460235155516,0.259,201575024.0,0.3670542718102059,0.341
5,0.47366773039102555,0.6015302476210284,2.882,674605236224.0,0.34925914075922276,0.317,1582164869120.0,0.3405295420836228,0.293
6,0.46658470779657363,0.59769168103873,2.835,5.723821482799268e+17,0.3835693036219,0.328,1.209403966681514e+18,0.3751777310877329,0.343
7,0.47836961299180986,0.5909096700979602,3.127,4.7351244065578e+20,0.43962905755714404,0.32,4.6176496287589566e+21,0.4482679602189261,0.387
8,0.47973646223545074,0.5930385575118534,3.155,6.334978507921528e+22,0.3935970695051654,0.413,6.788163128344864e+22,0.38889962533939937,0.472
9,0.4776486337184906,0.591978412639816,3.303,1.1522492757380105e+28,0.3755349282503302,0.396,7.247297191802162e+27,0.3711592358228449,0.434
10,0.48193588852882385,0.5938965499437452,4.23,inf,0.3690142155669764,0.467,inf,0.3489696597938741,0.521
