Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.45577294528484347,0.5962489144481447,0.782,0.9087559580802917,0.4771428180162414,0.102,1.1599942445755005,0.5242349383291282,0.1
2,0.4520205587148666,0.6149059595205125,0.983,1709.2503662109375,0.37014103182719343,0.138,5289.72119140625,0.420826078183734,0.142
3,0.4498118206858635,0.6206746490662783,1.141,18613998.0,0.3475503584265647,0.166,10261965.0,0.38311676293160357,0.188
4,0.45463510453701017,0.6216619464217324,1.382,50888245248.0,0.3491387837238651,0.199,45121863680.0,0.3500344200363789,0.214
5,0.45053605884313586,0.6178441953071996,1.63,120448909312.0,0.4337761427350054,0.194,206661435392.0,0.4290434232069819,0.23
6,0.4724173918366432,0.6000562829913135,1.817,2698972481191936.0,0.4333823041562011,0.218,2055259157430272.0,0.43250488900350287,0.255
7,0.4736785709857941,0.6047665145064062,3.285,1.8485622748572716e+23,0.42086760577254595,0.263,1.7381707613671063e+23,0.42058748844892263,0.34
8,0.46967475712299345,0.6002336301924611,3.827,3.0361372477733257e+26,0.3535225212954329,0.402,3.463405419481581e+27,0.34873550783232304,0.457
9,0.48090087473392484,0.5857473187123503,3.623,1.1912117064285511e+27,0.3568602693602694,0.472,6.592055413074313e+26,0.3548353635208706,0.612
10,0.48442511111497877,0.5843197131140784,3.994,inf,0.331034549510964,0.407,inf,0.3261846950027361,0.497
