Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.5206466287374496,0.5479890189656416,0.733,1.1359105110168457,0.4576745240404969,0.107,1.0480453968048096,0.5025474641114855,0.123
2,0.5055928379297256,0.5422977883070155,1.171,23477.765625,0.3814430120842348,0.145,57150.55859375,0.36233796146182967,0.165
3,0.5188675135374069,0.5357812711911818,1.636,5186093.5,0.32025454307641127,0.173,13880869.0,0.31497650082301826,0.226
4,0.5188562959432602,0.5375392385087732,1.876,164045392.0,0.48483374761338666,0.235,253546000.0,0.4720401497937851,0.298
5,0.5383771270513534,0.5127568175466773,2.173,16498117632.0,0.40314913217379317,0.269,49664217088.0,0.3864465693368659,0.32
6,0.5357158720493317,0.5131437837936895,2.313,6.328017209754911e+17,0.34492332968236583,0.301,1.7627866571126866e+18,0.3403251932022656,0.314
7,0.5324145764112472,0.5057652194449821,2.876,2.1229582165087355e+18,0.3239508700102354,0.327,4.62169872106573e+18,0.3107973230254428,0.379
8,0.5535272389650345,0.5017723669306633,3.131,2.0337145410461106e+19,0.39868383249452904,0.363,1.535896885684947e+20,0.39934023325991114,0.384
9,0.5445941150188446,0.513001310708644,3.188,7.467940671469418e+24,0.35842453533753743,0.363,1.5926786247267797e+25,0.3539639719405682,0.508
10,0.5409206748008728,0.49485040371318334,3.346,5.079649518176586e+31,0.3564779650185175,0.402,7.162237496977364e+31,0.35194606956054414,0.449
