Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.9842183589935303,0.733,0.11626577377319336,0.107,0.11727738380432129,0.123
2,1.344200611114502,1.171,0.14203953742980957,0.145,0.23628568649291992,0.165
3,1.436551570892334,1.636,0.1915278434753418,0.173,0.22377371788024902,0.226
4,1.7179315090179443,1.876,0.2241208553314209,0.235,0.2330305576324463,0.298
5,2.02497935295105,2.173,0.2554807662963867,0.269,0.25246572494506836,0.32
6,2.1412112712860107,2.313,0.27560925483703613,0.301,0.30848073959350586,0.314
7,2.559450626373291,2.876,0.27539896965026855,0.327,0.3565058708190918,0.379
8,2.8108839988708496,3.131,0.3558928966522217,0.363,0.3593733310699463,0.384
9,3.0013980865478516,3.188,0.34775614738464355,0.363,0.3826122283935547,0.508
10,3.161302089691162,3.346,0.35250043869018555,0.402,0.42943692207336426,0.449
