Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.5389559805393219,0.521816022421921,0.947,1.1510130167007446,0.41284256942778486,0.105,2.5875563621520996,0.38688874858167704,0.141
2,0.5334838449954986,0.5162585160829991,1.283,1181.572265625,0.3836409230866902,0.19,1939.7139892578125,0.37960162553140736,0.194
3,0.5527398318052292,0.49143309982201183,1.686,85859.9375,0.36822240240496545,0.21,220907.5,0.3080761154531719,0.233
4,0.5528396874666214,0.4949623975532373,1.89,37540136.0,0.4067707455238224,0.198,65216960.0,0.3770776724588754,0.234
5,0.5463657408952713,0.4880954916504172,2.227,41772765184.0,0.3758228690749159,0.301,63877029888.0,0.3684221697612607,0.314
6,0.5651076555252075,0.4770777788288758,2.53,4489255321600.0,0.4198558660195875,0.28,7125725085696.0,0.43400741404547566,0.309
7,0.5820210754871369,0.4551488555487457,2.845,3260884931575808.0,0.39412486392148055,0.297,3.4158922877108224e+16,0.3828777076546164,0.352
8,0.5813801854848861,0.4533421109758057,3.421,1.7007235962834518e+19,0.389216024169716,0.399,2.7858378889518645e+19,0.37309780469635034,0.417
9,0.577762970328331,0.4573731965341478,3.375,2.3410789475182593e+22,0.3646248279858043,0.429,2.1626159309843555e+22,0.38424030395275255,0.481
10,0.5734831243753433,0.45350211999006473,4.329,5.155506482071481e+23,0.36506028197395385,0.443,6.699813492438946e+23,0.36678384574164125,0.562
