Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.46693402975797654,0.5876419659615322,1.067,1.5854846239089966,0.4496514532970713,0.181,1.3525880575180054,0.5019558401890518,0.169
2,0.44693083614110946,0.6100235772337111,1.481,678.4169921875,0.4127955263116515,0.199,594.1629028320312,0.38706446901731695,0.211
3,0.47796509563922884,0.6043717580755453,1.733,8229970.5,0.39056263208776265,0.249,12927009.0,0.4309896125177753,0.209
4,0.4811316430568695,0.5949857663192586,1.843,2034388480.0,0.3641981623633,0.19,7891724800.0,0.3538885261817728,0.224
5,0.47872433960437777,0.5920540481869863,2.263,8557333839872.0,0.3974302426641505,0.215,7472978853888.0,0.42598587693059575,0.269
6,0.48417260944843293,0.583750915003335,2.208,1.086295360571179e+18,0.3615905281590207,0.263,1.301090592054313e+18,0.35688200277517124,0.307
7,0.4854283794760704,0.5860497475626245,2.697,1.7929894767513855e+23,0.34656521966829196,0.329,2.5350311942505785e+23,0.3425595278815325,0.372
8,0.48879855424165725,0.5736595757526068,3.322,5.482912770661763e+23,0.41155252020007693,0.371,1.8195986528761324e+24,0.409685132801219,0.421
9,0.46060825437307357,0.5997479054259427,3.609,1.084759493982405e+26,0.45557343610923656,0.458,8.347666431300205e+27,0.45129123923607967,0.448
10,0.48784228712320327,0.5816002085377662,3.835,6.449206278584066e+31,0.3499445440136318,0.412,1.99441695678553e+32,0.34062971192485747,0.525
