Layers,Train_Loss_Original,Train_Acc_Original,Elapsed_Time_Train_Original,Test_Loss_Original,Test_Acc_Original,Elapsed_Time_Test_Original,Val_Loss_Original,Val_Acc_Original,Elapsed_Time_Val_Original
1,0.46317249685525896,0.5868869881808673,0.911,1.6144318580627441,0.4399505508217247,0.14,1.2782440185546875,0.49583831002393136,0.149
2,0.44554861932992934,0.6133280249587166,1.909,843.6270751953125,0.4277572624654056,0.215,611.2099609375,0.39284904291027856,0.256
3,0.4731656715273857,0.6063540461830669,1.671,3967106.5,0.390186555200627,0.175,8186121.0,0.42986652795110275,0.215
4,0.47788102477788924,0.5975041981863589,1.949,1543647616.0,0.36331458334710387,0.246,6043792896.0,0.3550017057773066,0.249
5,0.4741909518837929,0.5930585995140137,2.119,7279954886656.0,0.3982814186554809,0.231,14973384261632.0,0.3929534075113948,0.305
6,0.4818220853805542,0.585641977366573,2.211,1.7164236576784384e+16,0.361750396509379,0.266,2.548413347523461e+17,0.34228667217782677,0.318
7,0.4835089385509491,0.5890205399873235,2.427,7.894939850449748e+22,0.34890471367851933,0.29,1.1153658972422119e+23,0.34391779928828203,0.332
8,0.48752371668815614,0.574481093258516,2.899,2.2100604523387782e+23,0.4125101827068544,0.295,8.569710940026937e+23,0.41012499346268505,0.344
9,0.45585764199495316,0.6064194086600451,3.445,3.6688295789715195e+25,0.4531286038257123,0.479,2.122042418274863e+26,0.44812646307866255,0.874
10,0.4860001191496849,0.5846975565695249,3.602,1.4422400403195153e+30,0.42136045466703936,0.38,1.0544776125831691e+30,0.4196624600725322,0.471
