Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.9105348587036133,1.067,0.14018702507019043,0.181,0.14924287796020508,0.169
2,1.9088218212127686,1.481,0.2154216766357422,0.199,0.25608134269714355,0.211
3,1.6709973812103271,1.733,0.17452383041381836,0.249,0.2145991325378418,0.209
4,1.9491605758666992,1.843,0.24594855308532715,0.19,0.24937653541564941,0.224
5,2.1185569763183594,2.263,0.23067164421081543,0.215,0.3053250312805176,0.269
6,2.211045980453491,2.208,0.26567864418029785,0.263,0.31766462326049805,0.307
7,2.4270644187927246,2.697,0.29020094871520996,0.329,0.3315315246582031,0.372
8,2.8985164165496826,3.322,0.2949206829071045,0.371,0.34360170364379883,0.421
9,3.445434331893921,3.609,0.4789001941680908,0.458,0.8737478256225586,0.448
10,3.6020312309265137,3.835,0.3803277015686035,0.412,0.4712958335876465,0.525
