Layers,Elapsed_Time_Train,Elapsed_Time_Train_dPTQ,Elapsed_Time_Test,Elapsed_Time_Test_dPTQ,Elapsed_Time_Val,Elapsed_Time_Val_dPTQ
1,0.8664226531982422,0.916,0.08526182174682617,0.149,0.13715910911560059,0.124
2,1.2496404647827148,1.35,0.15024709701538086,0.181,0.18263506889343262,0.2
3,1.5578017234802246,1.635,0.1697239875793457,0.164,0.22608470916748047,0.26
4,1.8414185047149658,1.945,0.2571594715118408,0.274,0.24189543724060059,0.234
5,1.9136409759521484,2.174,0.2698979377746582,0.256,0.28328633308410645,0.299
6,2.135225772857666,2.339,0.23935270309448242,0.332,0.2922794818878174,0.332
7,2.424190044403076,3.029,0.30216383934020996,0.356,0.31812477111816406,0.345
8,2.7414002418518066,3.319,0.3385202884674072,0.407,0.3959176540374756,0.366
9,3.079488754272461,3.373,0.40500307083129883,0.392,0.4792349338531494,0.486
10,3.8439595699310303,4.891,0.5448384284973145,0.529,0.7102217674255371,0.58
