Layers,Train_Loss_quantized,Train_Acc_quantized,Elapsed_Time_Train_quantized,Test_Loss_quantized,Test_Acc_quantized,Elapsed_Time_Test_quantized,Val_Loss_quantized,Val_Acc_quantized,Elapsed_Time_Val_quantized
1,0.5475140631198883,0.5242657784402496,0.758,1.8156827688217163,0.38159823399558507,0.155,2.502415418624878,0.3784910858194509,0.13
2,0.5316806137561798,0.5144844235385864,1.116,714.5750122070312,0.35705186628809465,0.148,1421.4521484375,0.3535342014313762,0.183
3,0.5425060957670211,0.5247311426917539,1.504,25461818.0,0.3817005649083007,0.204,73047008.0,0.3628104641992894,0.274
4,0.5506989151239395,0.5140849365296294,1.8,15862580224.0,0.36415799159502293,0.232,23394660352.0,0.36330978126132313,0.234
5,0.5495039373636246,0.4934541054244786,2.538,117988959191040.0,0.45434905359291,0.305,243252888338432.0,0.44698862603500944,0.517
6,0.5495315283536911,0.5084506157120293,1.884,7.468119920610378e+18,0.4422577469966676,0.221,2.615865705827926e+19,0.44668153309442554,0.276
7,0.5612283438444138,0.5105906524087158,2.385,2.038773696631108e+22,0.3553587117294454,0.285,2.4310705508123207e+22,0.35115980831102206,0.315
8,0.5619995206594467,0.496887234880371,2.558,1.121800348556543e+25,0.4246142151724711,0.278,2.037400824364732e+26,0.41978922716627637,0.307
9,0.5672969192266464,0.48754304058984216,2.861,2.9438974306761717e+32,0.4210574507105598,0.311,2.164250917915747e+32,0.4125103638876094,0.323
10,0.5672492295503616,0.4966978008303344,3.202,inf,0.3635061423403692,0.371,inf,0.3552707624897514,0.44
