file,size,size_quantized,size_diff
p1-0-0-acrgnn-aggS-readS-combT-cl1-L1.log,0.057026,0.023036,0.03399
p1-0-0-acrgnn-aggS-readS-combT-cl1-L2.log,0.111586,0.043526,0.06806000000000001
p1-0-0-acrgnn-aggS-readS-combT-cl1-L3.log,0.16653,0.064016,0.10251400000000001
p1-0-0-acrgnn-aggS-readS-combT-cl1-L4.log,0.22141,0.08457,0.13684
p1-0-0-acrgnn-aggS-readS-combT-cl1-L5.log,0.27629,0.10506,0.17123
p1-0-0-acrgnn-aggS-readS-combT-cl1-L6.log,0.33117,0.12562,0.20555
p1-0-0-acrgnn-aggS-readS-combT-cl1-L7.log,0.38605,0.146127,0.239923
p1-0-0-acrgnn-aggS-readS-combT-cl1-L8.log,0.44093,0.166698,0.274232
p1-0-0-acrgnn-aggS-readS-combT-cl1-L9.log,0.495811,0.187269,0.308542
p1-0-0-acrgnn-aggS-readS-combT-cl1-L10.log,0.550882,0.207954,0.342928
p2-0-0-acrgnn-aggS-readS-combT-cl1-L1.log,0.057026,0.023036,0.03399
p2-0-0-acrgnn-aggS-readS-combT-cl1-L2.log,0.111586,0.043526,0.06806000000000001
p2-0-0-acrgnn-aggS-readS-combT-cl1-L3.log,0.16653,0.064016,0.10251400000000001
p2-0-0-acrgnn-aggS-readS-combT-cl1-L4.log,0.22141,0.08457,0.13684
p2-0-0-acrgnn-aggS-readS-combT-cl1-L5.log,0.27629,0.10506,0.17123
p2-0-0-acrgnn-aggS-readS-combT-cl1-L6.log,0.33117,0.12562,0.20555
p2-0-0-acrgnn-aggS-readS-combT-cl1-L7.log,0.38605,0.146127,0.239923
p2-0-0-acrgnn-aggS-readS-combT-cl1-L8.log,0.44093,0.166698,0.274232
p2-0-0-acrgnn-aggS-readS-combT-cl1-L9.log,0.495811,0.187269,0.308542
p2-0-0-acrgnn-aggS-readS-combT-cl1-L10.log,0.550882,0.207954,0.342928
p3-0-0-acrgnn-aggS-readS-combT-cl1-L1.log,0.057026,0.023036,0.03399
p3-0-0-acrgnn-aggS-readS-combT-cl1-L2.log,0.111586,0.043526,0.06806000000000001
p3-0-0-acrgnn-aggS-readS-combT-cl1-L3.log,0.16653,0.064016,0.10251400000000001
p3-0-0-acrgnn-aggS-readS-combT-cl1-L4.log,0.22141,0.08457,0.13684
p3-0-0-acrgnn-aggS-readS-combT-cl1-L5.log,0.27629,0.10506,0.17123
p3-0-0-acrgnn-aggS-readS-combT-cl1-L6.log,0.33117,0.12562,0.20555
p3-0-0-acrgnn-aggS-readS-combT-cl1-L7.log,0.38605,0.146127,0.239923
p3-0-0-acrgnn-aggS-readS-combT-cl1-L8.log,0.44093,0.166698,0.274232
p3-0-0-acrgnn-aggS-readS-combT-cl1-L9.log,0.495811,0.187269,0.308542
p3-0-0-acrgnn-aggS-readS-combT-cl1-L10.log,0.550882,0.207954,0.342928
