key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.1151042357,0.1177934185,0.8038247824,0.96472901,0.96514636,0.9606508,0.96145159,0.72428578,0.72796273,0.055548
p1,1,2,0.0434670672,0.015109391,0.047406666,0.99997336,0.99997473,0.99991155,0.99992001,0.98519289,0.98555887,0.10905
p1,1,3,0.1010673046,0.0909076929,0.2416655272,0.97964334,0.97984844,0.97939694,0.97955406,0.90002525,0.90160263,0.162936
p1,1,4,0.5891126394,0.5927927494,0.6223381162,0.68698186,0.68764776,0.68511802,0.68608069,0.67114604,0.67189294,0.216758
p1,1,5,0.5919287801,0.5953016877,0.6354867816,0.68550688,0.68612915,0.68463171,0.6854918,0.66631842,0.66723096,0.27058
p1,1,6,0.590726018,0.5943669081,0.6536006331,0.68560463,0.68625832,0.68418956,0.68498337,0.64578307,0.64778781,0.324402
p1,1,7,0.593890965,0.5947313905,0.6255181432,0.68565351,0.68631631,0.68401271,0.68487966,0.66747129,0.66802895,0.378288
p1,1,8,0.5929226875,0.5949137807,0.6643657088,0.6850493,0.68563908,0.68414539,0.68516284,0.65716755,0.65840656,0.43211
p1,1,9,0.5928908587,0.5945900679,0.6375966668,0.68582678,0.68642259,0.68259794,0.68352413,0.65961736,0.66059798,0.485933
p1,1,10,0.5923515558,0.5962051153,0.6590954065,0.68516922,0.68585199,0.6837917,0.68471092,0.6575278,0.65850455,0.539766
p2,1,1,0.5514335036,0.5451142192,0.7041708827,0.69716871,0.70399714,0.70805293,0.7148084,0.56039917,0.55851835,0.055548
p2,1,2,0.3931741118,0.3716097772,0.5398305058,0.84191787,0.84445047,0.84705198,0.84958065,0.73138309,0.73197091,0.10905
p2,1,3,0.3927385211,0.381337285,0.5005102754,0.835298,0.83762276,0.83925307,0.84137082,0.75548512,0.75727516,0.162936
p2,1,4,0.4070450664,0.3902941644,0.4116778374,0.82821637,0.83052284,0.83149874,0.83350289,0.81972116,0.81862509,0.216758
p2,1,5,0.3989010751,0.3824857473,0.4678456187,0.83298033,0.83535779,0.83742589,0.83949959,0.77281404,0.77316916,0.27058
p2,1,6,0.3977022469,0.3745632768,0.4541042149,0.83506268,0.8373363,0.83760417,0.83970189,0.81510973,0.81452036,0.324402
p2,1,7,0.3969115615,0.3761661053,0.474050045,0.83478296,0.8370927,0.83822811,0.84041786,0.78034371,0.78122538,0.378288
p2,1,8,0.3950279057,0.3737138808,0.6278748512,0.83406812,0.83645928,0.83862919,0.8408289,0.74031776,0.74034089,0.43211
p2,1,9,0.3986952901,0.3748959005,0.4916422367,0.83493835,0.83731437,0.83804983,0.84033042,0.78380227,0.78408331,0.485933
p2,1,10,0.4047223926,0.3822809756,0.5786402225,0.83143973,0.83384383,0.83510852,0.83743256,0.76708579,0.7677328,0.539766
p3,1,1,0.5630691648,0.5696516037,0.5654825568,0.69128108,0.69761878,0.69063789,0.69634026,0.75669432,0.75209415,0.055548
p3,1,2,0.4567089081,0.4589413702,0.5317997932,0.76572043,0.77352887,0.76903272,0.77620631,0.76950562,0.76538622,0.10905
p3,1,3,0.4519423544,0.454184413,0.7132286429,0.77142805,0.77911347,0.76339501,0.77111065,0.61587876,0.61539811,0.162936
p3,1,4,0.4532527924,0.4585696459,0.6249474287,0.77304739,0.78035229,0.76588094,0.77343416,0.65543127,0.65388584,0.216758
p3,1,5,0.4415212572,0.4524861872,1.0147153139,0.77204198,0.7796362,0.76055402,0.76748329,0.41501263,0.42319214,0.27058
p3,1,6,0.4572853446,0.4567709863,1.4042857885,0.76404774,0.77141207,0.76969856,0.77701437,0.29989174,0.30809277,0.324402
p3,1,7,0.4492537975,0.4453116357,1.1503298283,0.78274101,0.79003584,0.78092957,0.78752536,0.47921327,0.48452535,0.378288
p3,1,8,0.4621740282,0.4632889628,0.9471702576,0.76402551,0.77206403,0.7519865,0.75973064,0.76679897,0.76249522,0.43211
p3,1,9,0.4420651793,0.4575762451,0.926455915,0.7749247,0.78230524,0.76996493,0.77666789,0.63107181,0.63026917,0.485933
p3,1,10,0.4516648352,0.449691534,0.9452962875,0.77801651,0.78541476,0.77706754,0.78421938,0.53305668,0.53693432,0.539766
