key,comb_layers,l,train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro,size_of_model
p1,1,1,0.0591323562,0.0604855977,0.4327128232,0.98417938,0.98403943,0.98227078,0.98240209,0.85517168,0.85792094,0.055548
p1,1,2,0.0380315185,0.0096362252,0.2056493908,0.99939579,0.99940264,0.99929261,0.99932283,0.94736463,0.94919878,0.10905
p1,1,3,0.6425455809,0.6457195282,0.6765119433,0.63252711,0.63345611,0.62525421,0.62619483,0.56594735,0.56744325,0.162936
p1,1,4,0.6470301747,0.6493534446,0.6950284839,0.62357944,0.623631,0.61375898,0.61424983,0.53777426,0.54022527,0.216758
p1,1,5,0.6879595518,0.6909840703,0.6964508891,0.53924721,0.54042739,0.52245998,0.52347237,0.50945705,0.51080942,0.27058
p1,1,6,0.6907342076,0.6914205551,0.6930482388,0.52778047,0.52896214,0.52909189,0.53033835,0.51129442,0.51286858,0.324402
p1,1,7,0.690436244,0.6915099025,0.6932218671,0.52626109,0.52716237,0.53293836,0.5336867,0.51410455,0.5150786,0.378288
p1,1,8,0.6810283065,0.6807720661,0.6931743622,0.55912405,0.56043845,0.56543463,0.56687808,0.52469647,0.52533996,0.43211
p1,1,9,0.6899834871,0.6899234056,0.6968209743,0.5384475,0.539967,0.53426474,0.53578126,0.50448537,0.50587845,0.485933
p1,1,10,0.689784646,0.6903520823,0.6959761977,0.52895784,0.53048503,0.52436113,0.52568871,0.50113487,0.5018357,0.539766
p2,1,1,0.4779929519,0.463640064,0.7363262177,0.77490222,0.77971447,0.78809214,0.79248959,0.48067155,0.48415205,0.055548
p2,1,2,0.5655719638,0.5645077825,0.6599223614,0.68843096,0.69347781,0.68929094,0.69485474,0.63893795,0.63968897,0.10905
p2,1,3,0.5710662007,0.5683591366,0.6641154289,0.68163353,0.68720955,0.68113554,0.68701524,0.63742477,0.63825369,0.162936
p2,1,4,0.6129072905,0.6029316187,0.6819145083,0.65069193,0.65556765,0.66549313,0.66977292,0.55910224,0.55658311,0.216758
p2,1,5,0.6506952047,0.652739346,0.7492845058,0.630193,0.63367379,0.64312136,0.64598441,0.39593616,0.39707753,0.27058
p2,1,6,0.6528357863,0.6469179988,0.7637756467,0.63040614,0.633883,0.64312136,0.64598441,0.39597219,0.39711145,0.324402
p2,1,7,0.63340801,0.6247392893,0.7149842978,0.64741087,0.65193343,0.6552431,0.65844971,0.55135643,0.55023015,0.378288
p2,1,8,0.6322628856,0.6166054606,0.7063614726,0.6455639,0.65035403,0.66464639,0.66907752,0.51774329,0.51829469,0.43211
p2,1,9,0.6339877844,0.6364250183,0.7168340087,0.64119947,0.64591318,0.64040285,0.64563417,0.50192744,0.50133014,0.485933
p2,1,10,0.6563853025,0.6496832371,0.7784693241,0.63020188,0.63369161,0.64312136,0.64598441,0.39597219,0.39711145,0.539766
p3,1,1,0.5468603373,0.5573157668,0.5983617902,0.69714886,0.70460963,0.6992054,0.70654148,0.72356552,0.7188493,0.055548
p3,1,2,0.4714737833,0.4840872288,0.5658766031,0.75725907,0.76458728,0.75136501,0.75847298,0.72894263,0.72602749,0.10905
p3,1,3,0.5975990295,0.6141030788,0.5998781323,0.66601717,0.67405027,0.65015316,0.65798545,0.70339227,0.69768029,0.162936
p3,1,4,0.6468917131,0.6486091018,0.7201777101,0.62214005,0.63041252,0.6050517,0.61413038,0.4858174,0.48383898,0.216758
p3,1,5,0.6544195414,0.6722400188,0.7598618865,0.59561718,0.60430735,0.5720247,0.58092946,0.32641646,0.33070415,0.27058
p3,1,6,0.6746419668,0.6815704107,0.7620925903,0.57971323,0.58682173,0.55644339,0.56406444,0.3420426,0.34346107,0.324402
p3,1,7,0.6719830036,0.6855724454,0.7455553412,0.5894469,0.59639382,0.57641941,0.58435154,0.47484663,0.47432515,0.378288
p3,1,8,0.6716524363,0.686389029,0.7540173531,0.57042891,0.57695508,0.55053937,0.55736732,0.426236,0.4261179,0.43211
p3,1,9,0.6682208776,0.6763359904,0.7434886694,0.58786321,0.59470993,0.58156878,0.58911347,0.41201732,0.4127793,0.485933
p3,1,10,0.6643446088,0.6657806039,0.7532244325,0.60523963,0.61221415,0.59985793,0.60564119,0.47813064,0.47527522,0.539766
