model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004,0.7,0.7,0.1225807667,0.3783200979,0.98363292,0.98497909,0.97776109,0.97947478,0.84396726,0.84694052
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038,0.9,1.4,0.0087984754,0.1000920087,0.99991113,0.99990916,0.99977893,0.99976516,0.95903736,0.95919949
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072,1.5,2.2,0.6209834814,0.6442084908,0.65577155,0.65585268,0.64656466,0.64669764,0.62124872,0.62218201
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817,1.8,1.7,0.6323112845,0.6484096646,0.64457142,0.64479554,0.63396412,0.63421714,0.62067229,0.62145215
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204,2.3,3.8,0.6565750241,0.675789535,0.60906053,0.61030853,0.59293485,0.59426361,0.56356955,0.56447488
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308,3.7,4.6,0.6507596374,0.6939174533,0.61875463,0.61869889,0.61371475,0.61372149,0.5515005,0.55323279
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423,2.7,3.0,0.665668726,0.7022320628,0.58650917,0.58740062,0.57701832,0.57779467,0.52275103,0.52370542
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474,4.1,5.2,0.6860306859,0.6926023364,0.54816824,0.54927504,0.54491997,0.54528093,0.52278703,0.52350974
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589,5.1,5.3,0.6595396996,0.6933013201,0.60207212,0.60303801,0.59218323,0.59266704,0.54415101,0.54530251
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704,5.9,7.4,0.6882873774,0.6967859268,0.54235715,0.54421461,0.53607744,0.53755176,0.50358468,0.50451726
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004,0.8,0.9,0.5171022415,0.7284808159,0.72876292,0.73594242,0.74664646,0.75320613,0.50877255,0.51046479
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038,0.9,1.3,0.5345636606,0.70964849,0.71432441,0.72206974,0.7304247,0.73765224,0.44781497,0.44957039
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072,2.4,2.9,0.5713073611,0.6643173695,0.68037701,0.68634343,0.67601049,0.68154675,0.61750191,0.61845988
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817,2.3,1.8,0.5672439337,0.6634135246,0.68402219,0.6903556,0.69954097,0.70455921,0.6335339,0.63321203
