model_name,size_original,size_quantized,time_original,time_quantized,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004,0.7,0.9,0.0318873264,0.0754760504,1.0,1.0,1.0,1.0,0.99528044,0.99555904
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038,1.3,1.5,0.0186788589,0.0365863778,1.0,1.0,1.0,1.0,0.99625319,0.9963991
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072,1.6,1.9,0.1325658709,0.2309436649,0.96632397,0.96655989,0.96785748,0.9679898,0.91068918,0.91218054
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817,1.9,2.1,0.5948104262,0.616995275,0.68544465,0.68611819,0.68277478,0.6838125,0.67082179,0.67113382
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204,5.1,2.7,0.5956519246,0.6310038567,0.68535137,0.68596703,0.68206739,0.68291628,0.66902041,0.66968071
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L6-H64.pth,0.324402,0.116308,3.0,3.4,0.5954059958,0.6173449755,0.68497372,0.68564773,0.68250948,0.68343645,0.67067766,0.67131668
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L7-H64.pth,0.378288,0.135423,3.8,4.1,0.5959450006,0.6482873559,0.68534696,0.68599147,0.68312848,0.68412393,0.6568433,0.65794384
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L8-H64.pth,0.43211,0.154474,4.0,3.9,0.5951253176,0.6623588204,0.68548912,0.68611526,0.6837917,0.68477893,0.65511405,0.65627706
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L9-H64.pth,0.485933,0.173589,3.8,4.4,0.5945968628,0.640529573,0.68588006,0.6864655,0.68388009,0.68475974,0.64596319,0.64747036
saved_models/results/p1/MODEL-acrgnn-0-aggS-readS-combT-cl1-L10-H64.pth,0.539766,0.192704,4.1,4.7,0.5977089405,0.6441266537,0.68424511,0.68491966,0.68175787,0.68274194,0.65651906,0.65768993
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L1-H64.pth,0.055548,0.021004,0.8,1.0,0.5242543221,0.6882973909,0.72083771,0.72882563,0.73572797,0.74367332,0.56000286,0.55987042
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L2-H64.pth,0.10905,0.040038,1.7,3.5,0.4005301893,0.7314896584,0.82873583,0.8316322,0.83631176,0.8387602,0.64369351,0.64879578
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L3-H64.pth,0.162936,0.059072,1.6,1.8,0.3779395521,0.4191893637,0.8348096,0.83714014,0.84139222,0.84356475,0.81428111,0.81386036
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L4-H64.pth,0.216758,0.07817,2.1,2.3,0.3753601015,0.4554364979,0.83082259,0.83316457,0.83978784,0.8419016,0.77973121,0.78057873
saved_models/results/p2/MODEL-acrgnn-0-aggS-readS-combT-cl1-L5-H64.pth,0.27058,0.097204,2.7,3.1,0.3758916855,0.427691102,0.83266068,0.83498049,0.84076828,0.84288412,0.80938143,0.80872303
